Category,Rand,ID,Market Name,Price,subject,Seller Name,Old Code,New Code,Notes
E-books,13881,129054,TradeRoute,0.99,Cannabinoids as Therapeutics,captainkirk0--,,Drugs – General,
Digital EBooks,9665,282821,Apple Market,1,Hacking: Hacking Practical Guide for Beginners,captainkirk,Adversarial Behaviours,Hacking – General,
Security,12161,293035,Hansa,1,Anonymous SMS Spoofer (buy 1 get 1 free),OnePiece,,Anonymity – Other,
Digital EBooks,1663,282707,Apple Market,2.99,Predator Empire Drone Warfare and Full Spectrum Dominance 2016,pckabml,Other,eBooks – Technical,
Guides & Tutorials,19599,134188,TradeRoute,6,"NEW PRIVATE CC TO BTC GUIDE (AMAZON, ITUNES, EBAY)",MoneyMule217898,,Cashing Out,
Security,13911,140613,TradeRoute,12,PUREVPN.COM - ★PREMIUM ACCOUNT★ [LIFETIME],colombiaconnection196799,,Anonymity – VPN,
Guides & Tutorials,13081,130416,TradeRoute,7,carding  Etsy online marketplace,probitexchange6100,,Carding,
E-books,4577,99369,TradeRoute,3.99,The Cannabis Breeders Bible The Definitive Guide 2005,pckabml143100,,Drugs – Production,
Guides & Tutorials,5809,110020,TradeRoute,0.6,HOW TO MAKE MONEY WITH YOUR RAT SLAVES,l33ter129398,,Other,
Guides & Tutorials,1574,91700,TradeRoute,4.99,CARDING - CC To BTC,Junkiepig66630498,,Carding,
Guides & Tutorials,4960,114710,TradeRoute,0.5,CC to Moneygram,blackdawg3999,,Cashing Out,
Guides & Tutorials,17261,117815,TradeRoute,13.4,PRIVATE UNDERGROUND AMAZON CARDING GUIDE,Torso216098,Adversarial Behaviours,Carding,
E-books,16901,150394,TradeRoute,3.99,Ethereum and Bitcoin The Bundle Guide 2017,pckabml143100,,Cryptocurrency – General,
E-books,12463,153574,TradeRoute,1.99,How to Make Amphetamine WITH PHOTOS,stevejobs66630899,,Drugs – Production,
E-books,5131,145088,TradeRoute,5,"OVER 970 ""FOR DUMMIES"" EBOOKS ONLY $5",TopNotchMoneyMaker69097,Other,eBooks – Other,
Security,7813,122865,TradeRoute,4.99,HIDEMYASS.COM – VPN – ★PREMIUM ACCOUNT★ [LIFETIME],colombiaconnection195899,,Anonymity – VPN,
Guides & Tutorials,3349,103321,TradeRoute,10,BTC PAYPAL GUIDE v2.0 [Best Ever]!!!,Torso212498,,Cashing Out,
Security,12042,285405,Hansa,1,ANONYMOUS SAFE EMAIL ACCOUNT,bank,Privacy and Online Rights,Anonymity – Other,
Guides & Tutorials,759,94897,TradeRoute,2,LIST OF CARDABLE VIRTUAL PRODUCT WEBSITES,kingvendor0--,Adversarial Behaviours,Carding,
E-books,3398,106860,TradeRoute,0.99,Propellants and Explosives,captainkirk0--,,Weaponry & Explosives,
Information,7835,91718,TradeRoute,20,Platinum Virtual Carder Handbook (UVCH) 2.11,TopNotchMoneyMaker68897,,Carding,
Guides & Tutorials,16234,98134,TradeRoute,3.5,"The Carding Guide, All The Knowledge. SUPER-GUIDE.",l33ter127898,,Carding,
E-Books,10639,291997,Hansa,0.99,Complete Guide into learning Photoshop,ProfessorDark,Other,eBooks – Technical,
Guides & Tutorials,18001,127065,TradeRoute,7,CARDING - CC Cashout Guide - Rabbit Method,hocker1191,,Carding,
Information,9517,129300,TradeRoute,2,[TUTO FR] Vérifier le solde d'une CC / CC check,SplashStars3797,Adversarial Behaviours,Carding,
E-books,6842,161885,TradeRoute,2.99,The Complete Guide to Gunsmithing Gun Care and Repair 2015,pckabml143100,,Weaponry & Explosives,
E-Books,16290,297107,Hansa,24,Pick-10-Book List: PYTHON Programming and Web Application Frameworks,pckabml,Other,eBooks – Technical,
Digital EBooks,3020,282620,Apple Market,2.99,Drone Warfare and Lawfare in a Post Heroic Age 2016,pckabml,Law and Regulation,Other,
Security,7703,136295,TradeRoute,10,GUNSMITHING 101 - Make Guns And Gun Accessories,TheWealthMaker27897,,Weaponry & Explosives,
Guides & Tutorials,18439,156342,TradeRoute,1,How To Pass Your Fake ID,thekindcalf16100,Adversarial Behaviours,Resources – Identity Documents,
E-books,9726,103871,TradeRoute,0.5,***CERTIFIED ETHICAL HACKER OFFICIAL COURSE!!***(Clone),GodsLeftNut208198,Malware and Attack Technology,Hacking – General,
Guides & Tutorials,6629,156922,TradeRoute,4.99,The Little Black Book of Computer Viruses,Junkiepig66630398,,Malware Authorship,
Guides & Tutorials,16665,96974,TradeRoute,2.99,Anarchist Cookbook 4,pckabml135100,,Weaponry & Explosives,
Information,17928,126926,TradeRoute,2.99,♕ CVV Cashout Via BTC ♕,TheShop131697,Adversarial Behaviours,Cashing Out,
Others Guides,3302,282680,Apple Market,1.59,WiFi Hacking + FREEBIES,YourPartnerInCrime,Network Security,Hacking – Wireless Networks,
Guides & Tutorials,8926,133945,TradeRoute,25,Bank Zachodni WBK-Cashing out Btc through Prepaid VISA Cards,DAY-ONE3100,Adversarial Behaviours,Cashing Out,
Guides & Tutorials,9938,98272,TradeRoute,1.33,279 Passport Scans From All Around The World,PrawnCracker32799,Adversarial Behaviours,Resources – Identity Documents,
E-Books,9834,293452,Hansa,1.99,carding apple TUTORIAL,MoneyMakerKid,,Carding,
E-books,6337,120208,TradeRoute,10,Ultimate Hacking Megapack 14gb,OnePiece36100,,Hacking – General,
Guides & Tutorials,11807,93823,TradeRoute,10,**BYPASS ANY WEBCAM SELFIE VERIFICATION EVEN COINBASE**,ZANGO0--,Adversarial Behaviours,Fraud,
eBooks,7309,91582,Silk3,3,Deal The First Deadly Blow,Junkiepig666,Other,eBooks – Other,
E-books,11929,126109,TradeRoute,3.99,CSS The Definitive Guide 4th edition early release 2017,pckabml143100,Other,eBooks – Technical,
Security,2700,108628,TradeRoute,3.99,Machine Learning and Security early release 2017,pckabml143100,,eBooks – Technical,
Guides & Tutorials,7636,117968,TradeRoute,30,****Double your Bitcoins****,ShroomPrince6399,Other,Cryptocurrency – General,
E-books,19637,160851,TradeRoute,2,How to Grow Practically Everything,ProfessorDark20198,,Drugs – Production,
Digital EBooks,17525,282666,Apple Market,2.99,Jesse Venturas Marijuana Manifesto 2016,pckabml,Drugs,Drugs – General,
Information,17596,148084,TradeRoute,0.5,How to Get a New Credit Report Identity (Tested & Works),TopHatMan9100,,Modifying Credit,
E-books,9792,120054,TradeRoute,0.85,"Drugs The Straight Facts, Antidepressants",love2xlr811992,,Drugs – General,
Digital EBooks,9549,282673,Apple Market,2.99,macOS Sierra For Dummies 2016,pckabml,Other,eBooks – Technical,
Security,18015,132294,TradeRoute,2.99,★ MASSIVE HACKPACK ★ 3GB ★ UPDATED ★,TheShop134197,Malware and Attack Technology,Hacking – General,
E-books,1353,95030,TradeRoute,8,"#1 NOOB CARDING STARTER MEGAPACK $4,650 VALUE-NEXT 10 PAY $8",TheWealthMaker27797,Adversarial Behaviours,Carding,
Security,3571,155388,TradeRoute,1.99,★ ANONIMITY STARTPACK - 24 Essential Guides ★,TheShop132197,Privacy and Online Rights,Anonymity – Other,
E-books,1681,162303,TradeRoute,10,11 SEO Mistakes You Must Avoid On Your Website,Aracay152100,,SEO,
E-Books,10989,294500,Hansa,0.99,Everyday Anarchy,OnePiece,Other,eBooks – Other,
E-books,1837,121289,TradeRoute,800,How to add your own trade lines(Clone),DollarsnPounds6100,Adversarial Behaviours,Modifying Credit,
Guides & Tutorials,9592,103518,TradeRoute,4.01,Paypal transfer + cashout money guide,Torso216098,,Cashing Out,
Digital EBooks,4560,282812,Apple Market,1,"Dictionary of Deities and Demons in the Bible, Second Edition",captainkirk,Other,eBooks – Other,
Guides & Tutorials,9811,98614,TradeRoute,2.18,Carding basic concepts & terminologies,james202027799,,Carding,
Information,13334,136783,TradeRoute,10,COINBASE BTC CASHOUT GUIDE SYSTEM 2017,TopNotchMoneyMaker65797,Adversarial Behaviours,Cashing Out,
E-books,14953,156997,TradeRoute,0.85,"Drugs The Straight Facts, Barbiturates",love2xlr811992,,Drugs – General,
Guides & Tutorials,15882,116573,TradeRoute,1.99,HOW TO SHIP MARIJUANA★AND NOT GET CAUGHT,beagleman32698,,Transportation/Stealth,
E-Books,1437,295906,Hansa,0.99,Wicca and Witchcraft E-Books Collection,captainkirk,Other,eBooks – Other,
Security,11015,124192,TradeRoute,15,ʙɪᴛᴄᴏɪɴ ᴍɪʟɪᴏɴᴀɪʀᴇ ᴠᴏʟ.ɪ,Torso216098,,Cryptocurrency – General,
Digital EBooks,15567,282725,Apple Market,2.99,Protect Your Digital Life The Online Security Guide 2016,pckabml,Other,eBooks – Technical,
Guides & Tutorials,18348,141326,TradeRoute,4.49,Setup Anonymous PayPal,P4YPAL3199,,Anonymity – Other,
Security,3292,284907,Hansa,7,HOW TO USE BITCOIN ANONYMOUSLY,bank,Other,Cryptocurrency – General,
E-books,12527,151044,TradeRoute,5,FULLZ PHISHING GUIDE,Torso216098,,Fraud,
Guides & Tutorials,5243,162406,TradeRoute,4.99,Amphetamine Synthesis - Very Easy With Photos,Junkiepig66630498,Drugs,Drugs – Production,
E-Books,2990,297603,Hansa,2.99,Pick-a-Book List: JAVA Programming and Web Application Frameworks,pckabml,Other,eBooks – Technical,
Information,2197,145581,TradeRoute,1.06,❻❻ CARDING GUIDES ULTRA BEST 2016/2017 + FREE GIFT,Torso216098,Adversarial Behaviours,Carding,
Guides & Tutorials,6829,121817,TradeRoute,2.07,Amphetamine Synthesis Gold Pack with Pictures,james202027799,Drugs,Drugs – Production,
E-books,3064,106592,TradeRoute,2.99,Multitenancy with Rails 2016,pckabml143100,,eBooks – Technical,
E-books,18686,145517,TradeRoute,2.99,Learning Bitcoin 2015,pckabml143100,,Cryptocurrency – General,
Information,19827,112371,TradeRoute,0.5,How to Get a New Credit Report Identity (Tested & Works),TopHatMan9100,,Modifying Credit,
Guides & Tutorials,10471,139875,TradeRoute,0.5,Tor and the Dark Art of Anonimity,xfuckx44998,,Anonymity – Tor,
Information,8125,131362,TradeRoute,25,100% LEGAL MAKE A TON OF MONEY TRADING ALT-COINS,TopNotchMoneyMaker68497,,Cryptocurrency – Trading,
E-books,7631,98952,TradeRoute,0.99,"Organic Marijuana, Soma Style: The Pleasures of Cultivating",captainkirk0--,,Drugs – Production,
Guides & Tutorials,9635,160903,TradeRoute,11,CASHOUT USA FULLZ TO BITCOIN SAME DAY,Torso215998,,Cashing Out,
Guides & Tutorials,3892,140403,TradeRoute,0.5,300+ Daily,blackdawg3999,,Other,
Information,8409,123118,TradeRoute,1.99,★ AK-47 Kalashnikov: GUIDES MEGAPACK ★,TheShop132197,,Other,
E-books,12313,108843,TradeRoute,2.99,Sex: The World's Favorite Pastime Fully Revealed,Junkiepig66630498,,Other,
Information,15204,127358,TradeRoute,20,SEVEN NOOB METHODS CREDIT CARD >> BTC 2017,TheWealthMaker27997,,Cashing Out,
Guides & Tutorials,4678,103985,TradeRoute,2.67,★TORSO'S★ Chinese Goods Carding Guide,Torso212398,Adversarial Behaviours,Carding,
Guides & Tutorials,16156,160188,TradeRoute,4.99,How to Make Meth [Fast Shipping],MicroDroper40100,,Drugs – Production,
Information,15659,103287,TradeRoute,1.99,♕ Collection of Esoteric Ebooks ♕,TheShop131697,Other,eBooks – Other,
Security,11866,288815,Hansa,0.99,"Anonymous - Everything about being Anonymous ( Safety Comes First ) Socks , VPN ,",BizNiz,Network Security,Anonymity – VPN,
Information,10065,145933,TradeRoute,5,VMware Software for Carding + KEY Original Price $299,MoneyMule217198,,Carding,
Guides & Tutorials,11324,125191,TradeRoute,11,CASHOUT USA FULLZ TO BITCOIN SAME DAY,Torso215998,,Cashing Out,
E-books,18635,118053,TradeRoute,0.99,Improvised Munitions Black Book Vol 1,captainkirk0--,,Weaponry & Explosives,
Guides & Tutorials,1836,98176,TradeRoute,2,Amazon Refund Scam,Kaptein66294,Adversarial Behaviours,Fraud,
Security,1052,133603,TradeRoute,7,Three Steps To Handle A Subpoena & Protect Your Privacy,Aracay152100,,Anonymity – Other,
Guides & Tutorials,4677,151805,TradeRoute,0.99,How To Get Netflix Premium For Free,drunkninja168797,,Hacking – Website,
Security,9445,122688,TradeRoute,5,VMware Software for Carding + KEY Original Price $299,MoneyMule217198,,Carding,
Security,15633,97685,TradeRoute,5,How to use PGP better ( newbie guide ),Dr.Whit389997,Cryptography,PGP/GPG,
Digital EBooks,5487,282633,Apple Market,2.99,Getting Started With Raspberry Pi 3rd edition 2016,pckabml,Other,eBooks – Other,
Guides & Tutorials,15603,114323,TradeRoute,5.49,★ [How To Login Successfully 99% To Hacked Paypal Acc]★,BlackGohan3699,Adversarial Behaviours,Carding,
Guides & Tutorials,16124,150246,TradeRoute,3,"Dating scam more than $1,000",fence16693,,Fraud,
Information,9274,145477,TradeRoute,5,MAKE BIG MONEY WITH BANK LOGINS,Torso216098,Adversarial Behaviours,Carding,
Guides & Tutorials,13436,110852,TradeRoute,0.5,7 Reasons Your Credit Card Gets Blocked.,blackdawg3999,Adversarial Behaviours,Carding,
Guides & Tutorials,17507,149579,TradeRoute,0.99,How To Order From Cracked Amazon Accounts,drunkninja168797,,Fraud,
Guides & Tutorials,10699,137232,TradeRoute,14.99,★ 2017 SQUAREUP PRIVATE CASHOUT GUIDE WITH FREE CC★,FraudBanner109036898,Adversarial Behaviours,Cashing Out,
Digital EBooks,13389,282661,Apple Market,2.99,iOS 10 A Take Control Crash Course 2016,pckabml,Other,eBooks – Technical,
Guides & Tutorials,14696,134373,TradeRoute,0.99,How To Card Nike,drunkninja170897,,Carding,
Guides & Tutorials,5267,157009,TradeRoute,2.99,How to Smoke Pot Properly A Highbrow Guide to Getting High,pckabml143100,,Drugs – General,
Digital EBooks,8595,282614,Apple Market,2.99,Developer Testing Building Quality into Software 2016,pckabml,Other,eBooks – Technical,
Guides & Tutorials,14724,116035,TradeRoute,0.5,CC to cash very easily,blackdawg3699,,Cashing Out,
Guides & Tutorials,6814,161921,TradeRoute,0.99,How To Make DMT,drunkninja171497,,Drugs – Production,
Guides & Tutorials,8426,108926,TradeRoute,0.99,How To Make Drugs (Tutorials Pack),PinkQueen142897,,Drugs – Production,
Information,1253,143066,TradeRoute,2.23,Carding 20k to BTC for $100,Torso216298,,Carding,
E-Books,15435,288308,Hansa,25,"Ultimate Uber Package (Get UNLIMITED Free Rides + Make $3,000+ a Month as Fake Uber Driver)",DigitalDealer,Web and Mobile Security,Hacking – Mobile,
E-books,16604,134852,TradeRoute,8,VIDEO How To CARD SAMSUNG S8/iPhone 7 [06/06/2017],MoneyMule217898,,Carding,
E-books,70,119547,TradeRoute,2.99,CSS Floating 2016,pckabml143100,Other,eBooks – Technical,
Guides & Tutorials,15712,125581,TradeRoute,1.5,"THE CARDING BUSINESS, UNDERSTAND HOW IT WORKS",l33ter127898,,Carding,
Guides & Tutorials,12982,153830,TradeRoute,0.5,Hacking Wireless Networks For Dummies.,blackdawg40100,,Hacking – Wireless Networks,
E-Books,18925,296551,Hansa,0.99,absorption_of_nitrous_gases,color,Other,eBooks – Other,
Guides & Tutorials,19059,117911,TradeRoute,5,TRANSFER FROM HACKED PAYPAL ACCOUNTS 2017,steemdude74998,,Cashing Out,
Guides & Tutorials,3066,123806,TradeRoute,0.99,Guide To Postal Smuggling,drunkninja170697,,Transportation/Stealth,
Guides & Tutorials,13288,144453,TradeRoute,5,HOW TO TRANSFER FROM PAYPAL CREDIT ACCOUNTS,TopNotchMoneyMaker68697,,Cashing Out,
Guides & Tutorials,16860,130408,TradeRoute,0.6,CRACKING WIFI,l33ter129398,Network Security,Hacking – Wireless Networks,
Information,5772,141401,TradeRoute,5,★ BANK DROPS GUIDE ★,Torso216398,,Other,
Guides & Tutorials,17463,130326,TradeRoute,4.99,"BIGGEST FRAUD PACKAGE ON DEEPWEBCarding,Cashout,Paypal,CC...",ccman19299,Adversarial Behaviours,Fraud,
Guides & Tutorials,8831,101867,TradeRoute,2,"Links to websites that sell CC's, Paypal, Bank logins",Kaptein66794,Adversarial Behaviours,Carding,
Guides & Tutorials,11913,155522,TradeRoute,0.99,How To Buy Bitcoins With Your Credit Card.,nbholmz10096,,Cashing Out,
Information,17491,129140,TradeRoute,1.99,♕ CANNABIS GUIDES PACK ♕,TheShop132297,Drugs,Drugs – General,
Security,10498,130372,TradeRoute,5,A TO Z MOBILE CHECK FRAUD,Torso214098,Adversarial Behaviours,Fraud,
Information,7881,107945,TradeRoute,4.99,★Paypal and CVV Cashout 2017 ★,geekgorilla8100,Adversarial Behaviours,Cashing Out,
Guides & Tutorials,4580,124634,TradeRoute,5,CASHOUT OF BANK ACCOUNT GUIDE,hocker1191,,Cashing Out,
Guides & Tutorials,16304,149442,TradeRoute,5,★[CC/CVV Balance Checker+Live Or Dead]★,MoneyMule217498,Adversarial Behaviours,Carding,
Security,17717,102109,TradeRoute,5,How To Be A Pro Carder + 2 VIDEOS,CrdinProfito13695,,Carding,
Guides & Tutorials,14098,103006,TradeRoute,0.89,How to make alcohol,nbholmz10096,,Drugs – Production,
Guides & Tutorials,12560,130412,TradeRoute,6,CARDING BANK TRANSFERS 100% working method,tickler8100,,Carding,
E-books,2169,118953,TradeRoute,1,Bitcoin Beginner's Guide,TheDigital13499,,Cryptocurrency – General,
Guides & Tutorials,11594,133882,TradeRoute,0.99,Simple method $50- $100 a day no investment.,stevejobs66630999,,Other,
Digital EBooks,973,282829,Apple Market,1,"Marijuana Chemistry: Genetics, Processing, Potency 2nd Edition",captainkirk,Drugs,Drugs – General,
Digital EBooks,15019,282729,Apple Market,2.99,R for Everyone Advanced Analytics and Graphics 2014,pckabml,Other,eBooks – Technical,
E-books,3612,148435,TradeRoute,5,MAKE BIG MONEY WITH BANK LOGINS,Torso216098,Adversarial Behaviours,Carding,
E-books,19451,126654,TradeRoute,4,"MAKE $10,000+ A WEEK CASHING OUT WESTERN UNION",TopNotchMoneyMaker68097,,Cashing Out,
Information,985,150208,TradeRoute,1.99,♕ MAKE $ SCAMMING PAY-PER-CALL OFFERS ♕,TheShop129697,Adversarial Behaviours,Fraud,
Guides & Tutorials,2180,147389,TradeRoute,1,How To Make Cocaine,PrawnCracker32799,,Drugs – Production,
E-books,3040,153610,TradeRoute,3.99,The Medical Cannabis Guidebook The Definitive Guide 2014,pckabml143100,,Drugs – General,
Guides & Tutorials,18908,102365,TradeRoute,120,CARDING SCHOOL LISTHING/LEARN HOW TO CARD IPHONES,Evola10095,Adversarial Behaviours,Carding,
E-books,13295,99735,TradeRoute,2.99,Bitcoin Essentials 2016,pckabml143100,,Cryptocurrency – General,
Guides & Tutorials,16892,128830,TradeRoute,0.99,How To Encode Track Info To Plastic,drunkninja170597,,Other,
Others Guides,2163,282579,Apple Market,3.24,HOW TO MAKE ALL DRUGS  + BONUS !,TheCousteauMotorcyclist,Drugs,Drugs – Production,
E-books,15884,93057,TradeRoute,3.58,☆ The emperor wears no clothes ☆,mindTraveller12100,,Other,
Security,13250,296690,Hansa,2.99,Windows Malware Analysis Essentials 2015,pckabml,Malware and Attack Technologies,Malware Authorship,
Guides & Tutorials,13180,138648,TradeRoute,2,Basic Tutorial For Carding From Ebay,Kaptein66494,Adversarial Behaviours,Carding,
Information,1286,133382,TradeRoute,2.99,♕ CARDING MEGAPACK ♕,TheShop130597,Adversarial Behaviours,Carding,
Security,2955,295557,Hansa,5.99,▶THE CARDER'S HOLY GRAIL -Antidetect 6.5 -Fraud Browser -Socks5/Proxy+VPN -List of Bins -Worth $550!,SoftKingUS,,Carding,
E-books,460,157542,TradeRoute,1.99,♕ BITCOINS MONEY PACK | 16 GUIDES ♕,TheShop132197,,Cryptocurrency – General,
Guides & Tutorials,13508,113729,TradeRoute,5,★[CC/CVV Balance Checker+Live Or Dead]★,MoneyMule217498,Adversarial Behaviours,Carding,
Digital EBooks,14011,282672,Apple Market,2.99,Lucifer Rising British Intelligence and the Occult 2016,pckabml,Other,eBooks – Other,
E-books,15204,127782,TradeRoute,3.99,React Components 2016,pckabml135100,,eBooks – Technical,
Information,18574,93316,TradeRoute,5,"7 DROP Methods To Receive CARDED items(Phones,Clothes, etc.)",steemdude72898,Adversarial Behaviours,Carding,
Guides & Tutorials,16207,114850,TradeRoute,2,CARDING : MEGA-PACK OF TUTORIALS - I,l33ter129498,,Carding,
E-books,14382,124530,TradeRoute,2.99,Bitcoin For Dummies 2016,pckabml143100,,Cryptocurrency – General,
Guides & Tutorials,16330,98900,TradeRoute,4.99,How To Make LSD [WITH PHOTOS],MicroDroper49100,,Drugs – Production,
Digital EBooks,19665,282817,Apple Market,1,Getting High: Marijuana through the Ages,captainkirk,Drugs,Drugs – General,
Information,8773,107798,TradeRoute,1.99,★ MoneyMachine | EARN $200 A DAY ★,TheShop131997,,Other,
Digital EBooks,3668,282618,Apple Market,2.99,Digital Photography For Dummies 8th edition 2016,pckabml,Other,eBooks – Other,
E-Books,3257,288348,Hansa,10,HACKING SUPER PACK OF BOOKS,DigitalDealer,Adversarial Behaviours,Hacking – General,
Guides & Tutorials,6264,94476,TradeRoute,2.49,"★ SOCIALBOMBER ★ EARN FOLLOWERS, LIKES & SUBSCRIBERS ★",TheShop132297,Other,Other,
E-books,16831,133738,TradeRoute,0.99,♕ Anarchist's Coockbook (Updated) ♕,TheShop132197,Physical Security,Weaponry & Explosives,
Guides & Tutorials,3047,121340,TradeRoute,2,Converting your CVV into a fullz,l33ter129198,Adversarial Behaviours,Carding,
Guides & Tutorials,18443,126209,TradeRoute,0.99,How To Make DMT,drunkninja171497,,Drugs – Production,
E-books,12852,162696,TradeRoute,0.99,A Guidebook To The Psilocybin Mushrooms Of Mexico,captainkirk0--,,Drugs – General,
Guides & Tutorials,17096,98786,TradeRoute,2.99,Drugs The Straight Facts - Inhalants,Junkiepig66630498,,Drugs – General,
Information,3400,151851,TradeRoute,1.99,♕ DELL Carding Method ♕,TheShop132197,Adversarial Behaviours,Carding,
Security,19014,132540,TradeRoute,10,PayPal Cashout + PayPal to BTC V.2  + [8 videos],Torso212398,,Cashing Out,
E-Books,7788,297547,Hansa,0.99,Ayahuasca Cookbook Almost Free,OnePiece,Drugs,Drugs – Production,
Guides & Tutorials,891,109284,TradeRoute,3.5,The Carding Encyclopedia 229 Pages! CARDING WORLD,l33ter128598,,Carding,
E-books,1084,150114,TradeRoute,2.99,The Clash of Civilizations and the Remaking of World Order 1,pckabml143100,,Drugs – Production,
Guides & Tutorials,6000,121267,TradeRoute,0.99,How To Make A Phishing Website,PinkQueen140897,,Fraud,
Guides & Tutorials,12028,146018,TradeRoute,4,WesternUnion Carding Method 2017 NOOB FRIENDLY,FF01237694,,Carding,
Guides & Tutorials,2949,141178,TradeRoute,1,Guide Ewhoring,Donnie_Azoff14100,,eWhoring,
Security,8698,137955,TradeRoute,0.11,Tor and the Dark Art of Anonimity ★★★,Torso216098,,Anonymity – Tor,
Security,4204,289494,Hansa,2.99,Windows Registry Forensics 2nd edition 2016,pckabml,Forensics,Digital Forensics,
Guides & Tutorials,1340,161188,TradeRoute,10,BTC PAYPAL GUIDE v2.0 [Best Ever]!!!,Torso216098,,Cashing Out,
E-books,3526,139916,TradeRoute,2.99,Virtual Billions The Genius behind the Rise of Bitcoin 2016,pckabml143100,,Cryptocurrency – General,
Guides & Tutorials,12424,150547,TradeRoute,7,6.15.17 Mobile Carding + 2017's #1 CC|PP|Fraud,hocker1191,Adversarial Behaviours,Carding,
Information,12971,92332,TradeRoute,1.06,❻❻ CARDING GUIDES ULTRA BEST 2016/2017 + FREE GIFT ✉,Torso216098,Adversarial Behaviours,Carding,
