thread_id,subject,New Code
9236,Synthetic Urine sample for Preemployment drug screening?,
20198,Problems with PGP,PGP/GPG
3550,bitcoins GBP ,
20584,Deposit to SR from wallet link to bank account,
407,Torchat/TOR Hidden Service Piggybacked on TOR,Anonymity – Tor
49239,Tor problem,Anonymity – Tor
66857,Remove Exif data in Tails 1.2,
44046,what the go to now truecrypt is done,
53443,full disk encryption on a mac... but wait...plz help,
1807,âDark Mail Allianceâ - Lavabit And Silent Circle Join Forces ,
60043,Threat to European Vendors,
7699,MUST READ: Would this IDEA prevent DDoS attacks??? MUST READ,
41423,tor question,Anonymity – Tor
54239,Best place to store passwords & sensitive information?,
6840,Need help with TAILS.,
44251,"Please read CALIGIRL mistakes - from announcing holidays, to envelope types",
10100,There is a TOR update,
777,Poll: Mt Gox Withdrawal Times,
66964,What is the best way to anonymize photos?  ,
976,Project to have truecrypt audited for the first time under way,
21847,Western union,
3607,PGP Newbie. Windows. Talke me through it. PLEASE!,
45357,Safe anonymous e-mail? ,
408,Deanonymization of TOR hidden services - Read this -,
44056,PGP error! Help!,PGP/GPG
27066,Safe-Mail Users Please Read,
611,gpg4usb key labels,
3264,Some members within Bitcoin Foundation are working against us,
3467,Bitcoin Washing?,
220,"-WARNING- safe-mail.net, not so safe",
46833,Tracking Packages,Transportation/Stealth
9733,How to get tails to remember noscript setting?,
44285,Completely erasing TOR and GPGSuite from your Mac,
1667,New Bitcoin ATM... Thoughts?,
44740,Tails help please!!!,
5564,Bitcoins...,
23046,Russia bans Bitcoin,Cryptocurrency – General
35771,How do multisigs solve the escrow problem ?,
11713,URGENT- sent btc to bitfog and never appeared and now it's withdrawn!!,
67751,Feds track attorney-client communications via mail intercepts,
62264,Done with the Darknet,
27206,Super noob topic help with pgp,Cryptocurrency – General
3996,Which vendors from the original SR got arrested after the takedown?,
66583,Communicating Securely,
9052,Bitcoin tumbling,
31807,Lelantos mail down? And why?,
20499,Really need help! Can't get cloned TAILS to boot.,
3478,Run VMware inside VMware,
1798,Tails & Truecrypt question,
17026,Accepting RX pills in the mail that you have a script for?,
12050,Encrypted disk image on laptop hard drive,
45346,NSA + tor,
1481,Electrum tails .20 ?,
37589,Can LE track you when you use TOR?,
876,BMR Closed!!!,
1027,is there any reason to have more than one wallet?,
462,Tails to USB for MAC/OSX,
2341,pgp practice please. ,PGP/GPG
343,"What Is A Good, Cheap Netbook For The Sole Purpose Of Using It For Deepweb?",
37494,Has the ssl heartworm bug affected silk road?,
5510,UK Bitcoin for cash deposit,
45801,Making a LiveCD for DiskCryptor,
491,PGP  ???,PGP/GPG
28997,Support,
483,"Old trick, spoof a fax req to change domains or get anybody's info",
520,BitWasp (Please sticky this),
2304,"Dear Americans, Your constitutional rights have been canceled.",
65052,Three of UKâs big four mobile phone networks are providing customer data to poli,
6811,Interesting Bitcoin Article ***CLEARNET WARNING***,
52599,Accessing files on HDD on Tails,
16060,best practices for getting MJ and MDMA onto cruise ship,
110,Message to all Non-PGP users!,
45931,vendor saftey please read or jepordize someone for being sloppy,
1122,Anonymous BTC market,
3688,Setting up a relay on FreeBSD?,
28113,Bitcoin question.. HALP! ,
68,Hidden Server Hardening,
794,possible Tormail replacement - The Lelantos Project,
28383,Transfering Btc to Sr Wallet,
49309,WTF big PGP problem! ,
46184,Send me an Encrypted message plz,
4149,Getting BTC via localbitcoins,Cryptocurrency – General
1291,Online Pharmacy,
17350,Purchasing paraphernalia on Amazon,Drugs – General
22328,"conflicting information, pls help..",
11774,I keep hearing use tor for this and that but java is disabled,
24079,Bitquick.com any thoughts? another option to get coin,
37321,Does everything on these forums get deleted irregularly?,
42955,Bittylicious limit and my identity....questions,
34314,Connecting to Remote wifi with WiFi Extender..,
6897,Best Bitcoin Price Tracker App for iOS?,
7999,What does this mean?,Other
67464,forgot 2 tumble and still havent received my money,
5241,Does anybody here use a vpn on top of tails/tor?,
37936,The risk in uploading avatars.,
47618,Safe-Mail Not Safe,
46190,Using Tails. How do i send BTC from my wallet?,
3515,Exploring the Dark Web,
965,InternetÂ´s - Prepaid simcards - are they any secure?,
4649,localbitcoin not letting me send,
20519,FBI Has Tor Mail Entire Database,
22966,Bitcoin dissapeared,Cryptocurrency – General
3705,There is a TOR update,Anonymity – Tor
61805,CAPTCHA LETTERS NO SHOWED,
4055,how do i cashout on cc`s,Cashing Out
4061,SELLING MINING HARDWARE.,
23781,Deposit directly to bitcoinfog/circumvent using the big exchanges,
3986,Do YOU think TOR is still safe from GOVT spying?,
28266,Hmm...hiding bitcoin origins...,Cryptocurrency – General
72,FIRST,Other
1574,Using BlueSkyTraders to fund my BTC wallet.,
31309,PGP once again.,PGP/GPG
40823,Return to sender,
36390,Jury Nullification   what is it and lets discuss it.,
26899,need help with blockchain,
28865,Please : One question For PGP    ,PGP/GPG
4513,Will Silk Road ever use another e-currency?,
40497,Updated to new Tor Bundle and have some questions,
3420,Polite Request: Obdev / Little Snitch. ,
44959,Has anyone ever had a package seized by LE?,Transportation/Stealth
33752,Help. Trying to blackmail me. ASAP.,
3680,"Virwox, mistake?",
5747,Localbitcons bank cash deposit,
48498,"Anyone have any thoughts on ""Tomb"" encryption software?",
1423,good btc tumblers,
3983,Quantum Bitcoin Mining?,
1912,Need to DBAN ,
9400,magic mushroom grow kit and magic truffles,Drugs – Production
47676,How can microdots on a printed piece of paper be used to locate my computer?,
28141,how to access html links via safe-mail,
49854,Tails Live USB stick fingerprint/identifier?,
28672,Andromeda's OPSEC Thread,
633,Can any one help with PGP Usb?,
6346,Why is Cnet loaded with so many viruses???,
10338,How the FBI is actually capable of attacking TOR,
46786,Tor Broken?,
1938,Changing identity disabled in TAILS ?,
8141,Silkroad support have no fucking idea. Its nearly 2014 ,
32712,anonymous verifiable ensured set size surveys,
27049,*Important** List of .onion mail providers,
4912,Help Have i lost my coins,
2281,...problem w keys using GPG4USB...,
36445,Did a vendor just try and publish me? Ban Please!,
199,[Intel] Souces of Intelligence for DEA Agents,
33036,ozmeth shutdown and arrested,
25770,reliable tor hosting,
4052,Anyone using hacked modems for extra security?,Hacking – Wireless Networks
31511,Tails how the hell do you...,
6887,"Watch it, know it, learn, it love it it could save your ass for real!",
20555,IMPORTANT: Academic papers on Tor security,
6380,Fastest and best app for secure erase,
24077,Utopia market is gone,
40122,any else,
4502,pgp,
36522,Recent Tor update,
1244,Javascript on Deepbay?,
9910,Why can't I get my PGP into my profile..,
46123,LSD vials ,
67096,What is enough for LE to get a warrent,
21355,protecting from sybil attacks,
40473,Firefoxâs adoption of closed-source DRM,
24406,account settings,
10061,getting verified on mtgox!!!!,
12058,Nextcoin,
9207,Running BitCoin QT Client via Tor Proxy,
45745,Recent Windows Update Breaks TrueCrypt ,
8477,New: Tor Browser Bundle 3.5rc1 Released,
45345,Taking a little drugs through border control,Drugs – General
6847,"darkwallet's promise versus the plans of the bitcoin ""insiders""",
5933,How does the PGP and shipping thing work?,
1225,"For First Time, Americans Favor Legalizing Marijuana",
3934,NSA and GCHQ target Tor network that protects anonymity of web users,
7664,Bitcoin may be banned in the U.S by the end of April 2013,
46222,How to increase Tor Stealth,
3869,personal?,
22122,Quantity of personal supply,
1754,Anti Forensics Guide,Digital Forensics
10407,Now is a good time to review your OPSEC,
10010,[SHITLIST] Vendors who use e-postage [/SHITLIST],
38467,Laundering cash quick question,
3036,BTC rates outrageous,
20524,Bitcoin deposit long time,Cryptocurrency – General
45483,How to send bitcoins making them look coming from unique adresses?,
65530,UK love letters.. how fucked am I??,
7511,bitcoins,Cryptocurrency – General
66458,Anyone ever been on felony formal probation?,
349,Blockchain blocking IPs?,
41332,[Browsing TOR through Tails]How unique is your system?,
43234,My safe system for buying and moving bitcoin,
49180,TAILS USERS MUST READ [Iceweasel/tor update],
40044,How does Hulu know I'm using a VPN?,
26370,Changing email address with GPG,
24984,What happened to Shared Send??,
23696,bitcoins 20% markup?,
27758,BTC CRASHING M-GOX ANNOUNCE BANKRUPTCY,
38859,Best VPN?,
9286,Forbid Scripts Question ,
2865,MY STORY WITH SHEEPMARKET ,
3543,VPN>Tor - Tor>VPN Debate,
1454,"Long time SR loyalist, asking for help",
1178,"First time using LocalBitcoin, couple questions...",
392,Questions regarding Tor and VPN,
4543,PGP for myself and others.,PGP/GPG
4306,deposit and withdrawl funds anonymously,
23843,Can anybody decrypt this message for me?,
8710,Uruguay becomes first nation to legalise marijuana trade,Drugs – General
62315,Search warrant UK,
7759,assigning a btc address to another wallet,
22789,Having problems opening my electrum bitcoin client on system,
22079,Tumbling from SR,
4194,how to transfer private key to my new computer,
4285,is this a hoax or legit?,
629,PGP/Wallet on Mac OS,
52913,Encrypting Sensitive Files on Mac OSX,
68111,Someone PLEASE tell me which is the best anonymous email service ATM,
54042,Has a Single Tor/Public Wifi User Ever Been Caught,
21782,importing cigarette in uk,
5356,Help with gpg4win and Kleopatra,PGP/GPG
9224,Acting Lessons,
11077,We need more info on changing laws right below security.,
45581,Windows 8/8.1 wants to backup your encrypted key.,PGP/GPG
11493,Is Oracle/ Whonix safe to use or no???,
51076,Dread Pirate Sunk By Leaky CAPTCHA,
62170,What is a good tumbler?,
6275,"Recieving a couple grand through the mail from a friend, is money order safe?",
28508,Finished Installing Tails !!,Anonymity – Other
11704,BTC via VirWox: Visa/MC preloaded,
23006,wtf happened to my usb,
600,"VPN Services That Take Your Anonymity Seriously, 2013 Edition",Anonymity – VPN
4143,MT Gox,
935,Specs for Relay,
1513,gpg4usb key import question,
15025,WARNING: Bitcoin Fog withdraws look to be delayed!,
4295,Bitcoin Bummers,
42560,Silly Situation NO TUMBLING,
22359,Probable Police Raid Incoming...Looking for some advice,
19745,Bitcoinfog a little more steep than expected. ,
2269,Any anoynomous email services that Shroomery does not prohibit?,
65856,VeraCrypt?,PGP/GPG
958,Best escrow system for anonymous marketplaces?,
48320,Tails USB vs Torified Linux VM on a Windows USB,
47661,When are you actually breaking the law?,
11823,How to access .i2p websites,
49523,Is package with prescription drugs even possible to seize?,Drugs – General
257,Bad Signature when try to verify my own,
1632,Buying btc via dwolla..Can it still be done??,
1830,How Risky is Clearnet?,
1112,Where is polyfront?,
21058,Caught with 8g of MDMA MICHIGAN,Drugs – General
50840,orbot / orweb anonimity questions,
3295,2x authentication help!,
31032,Validating Your Tor Browser?,Anonymity – Tor
2961,Password Safe,
3227,Bitcoin Wallets and Tails..,Cryptocurrency – General
4362,Arbitrage in WA/CO,
35044,How long on average does it take bitcoins to get to your SR account,Cryptocurrency – General
39241,What happens if your address is red flagged and they seize a shipment?,Transportation/Stealth
28766,Bitcoin Value in the toilet??,Cryptocurrency – General
2470,[Request] Cases where LE forced someone to give up password,
1639,Set it and forget it: forgotten bitcoin bought years go now worth nearly $1 mill,Cryptocurrency – General
42494,Need advise for what to do about snitches,
1961,Newbie Whonix Questions,Anonymity – Other
10098,Scientists hack a computer using just the sound of the CPU. RSA 4096.,Hacking – General
42,Guardian theory: Servers hacked before takedown. Your thoughts?,Hacking – General
23488,Going right from blockchain to SR2 wallet,Cryptocurrency – General
6142,Pissed of with this shit,Other
7609,Law,Other
62158,Best TOR settings for MAC users?,Anonymity – VPN
10101,Kleopatra,
23185,has anyone used cashintocoins.com,
4660,"NEWSNIGHT: Bitcoin -- the future, or a bubble waiting to burst?",
4567,Tails PGP infuriating,
31359,Warning: Fake Tor Browser Bundle Link and Fake Forum Link by PM ,
48087,Silk Road server,
45681,vpn that doesn't log and accepts bitcoin.,Anonymity – VPN
7296,New buyer account?,
7971,Creating a .onion site,
1332,Can I only buy $20 worth of btc,
8851,Buying Bitcoins on Virwox,
40339,GIF metadata saved via the internet.,
606,"Question re Tails and HTTPS Everywhere - Please advise, feeling paranoid!",
56099,Should Vendors Ship Slightly LESS than a Gram?,
45765,Decrypting MY Message,
2009,Tor Update,
6482,Bitstamp.net ---> SCAM??,
23597,New tor update 3.5.2,
41412,TOR Browser seem slow... to start,
1520,Electrum installed. Now how do I...,
2692,Importing pgp private key from dif. computer,PGP/GPG
8455,BitIodine - the latest threat to Bitcoin,
3850,Do you NEED tails?,Anonymity – Other
43779,Tails and VPN?,
61923,Why are people STILL pressing xanax bars?,
4367,How to get a customers public pgp key?,
68126, FBI demands new powers to hack into computers and carry out surveillance,Hacking – General
3165,BTC is up to $420 now and still climbing.,
287,Cashing out bitcoin,
3605,Email in profile?,
1750,Compelled to Disclose Password,
10751,best/easiest to use pgp for mac,
47627,"The safest, most secure tor browser settings to use while still having access",
62028,Do VPNs actually make you more anonymous,
1510,pine tutorial whonix,
17097,How are house searches conducted in the UK - Best place to hide stash,
6131,Trying to insall tails no dvd's no windows virtualization,
28835,"MtGox insolvent,. halts trading. Website offline----good riddance!",
42277,Bitcoin Blender down?,
45747,Precautions to take while on VPN?,Anonymity – VPN
3104,Wiping Macbook Pro R clean and only use windows7 - TRUECRYPT,
49363,Recommend VPN?,
47158,Importing Keys,
61931,Gedit - Tails,Anonymity – Other
4551,Tails equivalent for Mac?,
4075,Printers have data storage too,
23691,Presistan volume not working,
6929,Another reason to avoid 3rd party Online PGP sites,
5565,US SR busts being kept quiet,
22501,wickr (secure communication),
2636,New Tor pluggable Transports Bundle (2.4.17-rc-1) Linux / osx / win (2013-11-01),
4416,"Newbie placing an order, does this sound about right?",
20130,virwox help,
5066,"Hey everyone, lets learn to I2P before it goes mainstream and uncool.",
3798,How are transactions handled ?,
42422,Do I need to burn my drop?,
40796,Internet Tails question,
26704,We should use bitmessage ... here's why...,
66369,weed busts,
2312,.onion hosting providers,
5312,Search Warrants,
11735,Am i at risk,Other
22427,swapping sim card in phone,Hacking – Phreaking
115,PGP,
20815,Are Sample Giveaways LE address hunting??,
32826,Anonymous OS distributions ,
339,Country laws/customs info pinned a good idea?,
21263,Cracking Wifi Passwords?,Hacking – Wireless Networks
28991,forgotten password,
225,"There was a warning before SR went down, DPR and the Admins kept us in the dark.",
41396,Wallet to wallet transactions,Cryptocurrency – General
11604,Just an interesting article. ,Other
40086,Liberte... Up to date?,
34019,allowing users to upload avatars is stupid,
3812,Tutorial: Portable Encrypted Whonix on a Windows USB Stick,
21783,Bitcoin problems with old Walmart Sluts,
48131,"**OpenBazaar: Decentralized, anonymous escrow market coming soon**",
57855,ASIO and the new laws. how will this impact us australian SR users?,
1309,PGP,
46755,Festival stealth!,
40677,"SCAM WARNING: nawlins is exit scamming, why are there not more posts about this?",
35636,Illegal to use TOR or even be on SilkRoad.,
11851,"FASTEST, EASIEST, SAFEST way to register with bitcoin",
6556,The Andromeda Group issues new PGP,
31713,Is vendor wanting signature sketchy?  ,
62084,TAILS on Mac,
50416,Android security mystery â âfakeâ cellphone towers found in U.S.,
30943,license plate look up,
20432,SR vendor BTCKing & BitInstant CEO indicted in NY on money laundering charges,
4203,"How much cash is ""too much"" to carry around to be legal?",
26512,PGP Guide?,
67709,Truecrypt,PGP/GPG
38972,What's the best way to browse CLEARNET?,
4845,PGP Format,
6365,TrueCrpyt did you know??,
40031,Whonix runs like Shit,
28624,'Impossible to crack' codes.,
45691,address flagged?,
1764,"Need help when installing a O/S, using multiple internet connections",
35903,Could LE pose as a Vendor?,
42292,Account has been hacked?,Hacking – General
67246,"Security Idea - SR2, and all other markets",
41257,Transfer bitcoins from SIlkroad to Agora (or other markets),
11618,No (Valid) user Id ,
11941,Bitcoin investing to buy or wait to buy?,
11676,What version of PGP do you use?,
48010,Drive-by's,
65988,Electrum Servers. ,
4903,How do you write a vendor and where do you find a reply?,
43114,"My money was seized 4 years ago, now they want to give it back?",
41407,Where does gnu store its keys?,
4547,Need advice,
40090,Tor open at the same time as Chrome/FF/IE legit reason to worry?,
21248,PGP In Tails???? Issues,
66943,p3nd8s's Bitcoin Cold Storage and Ultra Secure Wallet Guide,
2360,putting gpg4usb on a usb,
24082,Sending and Accepting digital files,
21763,will a small amount of drug seized get my address flagged?,
31182,Doxx questions,
24414,US Government Surveillance Programs Senate Committee Hearings NOW,
39645,Tails via USB - Can't establish a Wireless connection,
19942,Tumbling to one wallet - unsecure?,
59134,Tails new version - questions. ,Anonymity – Other
6429,Tails Questions,Anonymity – Other
767,Decentralized Anonymous Marketplace?,
14237,"What type of sentence for Inigo, SSBD, Libertas?",
52851,need some help,Other
48383,US raid average,
3549,Help with android,
1166,Anyone familiar with APG? I need help creating a key,
49311,Are there any groups who hack tor so the security risks can be fixed?,
28560,email concerns,
42275,PGP and Phones ,PGP/GPG
26284,bcoiner wallet,
5181,"help needed getting error message ,any clued up IT around?",
253,A small question about tails,
26712,What is the best bitcoin client for TAILS?,
2618,how to use hushmail on tor,
32156,Safe to order using SR2,
42340,facebook messages,
8501,Question about Bitcoin Wallets and tumbling...,
26564,Mtgox,
29369,How to transfer my private key from windows to tails to use pgp there,
28538,Updating tor,
21004,Rising vendors,
26667,tor with safe-mail question,
160,PRISM Break,
4533,Best way to buy Bitcoins in Canada?,
8693,Whonix system updates which ones if any??,
147,Privnote,
5861,How to turn off Java in tails 22?,Anonymity – Other
36425,PM from Silkroad Tor Update - Do not download - Virus!,
6820,Looking for advice on buying laptops,
9199,how long does it take to transfer btc,
9659,Partial success for Snowden,
6316,Any legit vendors with blues a 215s?,
65151,Any risk to searching SR wallet address on your IP?,
345,command line gpg - easier than shit,PGP/GPG
3780,"Role-Playing (OPSEC, CD, LEO)",
23869,comment echanger ses btc contre de largent ??,
2311,Should I be spoofing my MAC address?,
44184,Vendor changing PGP Key,PGP/GPG
10531,Safe to use mobile phone 3g internet,
44599,Random Pro Tip on Seized encrypted data,
39648,troubke with latest toor bundle,
42944,Problem when encrypting text with GPG Keychain,
2106,the next time btc drops to Â£60,
2219,gpg nightmare,
67740,"domestic orders, addres flagged?",
46473,PGP Secret key and message decryptionn,
24510,Capcha ,
4038,What is the best way to download e-books? [CLEARNET links & .onion links],
640,Safest Email Service to use?,
6306,I see a new idenity botton should I be clicking,
27047,LUCYMCGEE SAFEMAIL,
10995,PGP Sub Keys - How does one Add/Change Keys?,
772,Bitcoin rise,
36401,heartbleed bug NSA,
5011,Vendor I Bought From Busted; How Worried Should I Be?,
7453,Silk Road not down its under ATTACK,
44261,what happens if two computers ran the same hidden service?,
21629,LE posing as vendors,
1517,Witch LINUX OS to take,
4970,Stealth Hand to Hand Transaction tips,Transportation/Stealth
4613,Before I order..,
3969,Bitcoin - Can someone explain what is going on please?,
36304,**liberte linux & the tor browser bundle updating**,
502,So what would be the safest way to change cash-->BTCs-->SR2.0/BMR/SM?,
7921,Updated police over spending and stories about being pulled over in drug area,
5890,TOR login/pw security,
47784,Help With Upgrading to Tails 1.1 from Tails 1.0.1,
9246,Sending a Moneygram,
8443,How to verify DPR's signature with Kleopatra?,
27123,PGP issue,PGP/GPG
4545,"Phishing, how to defend?",
2388,OK Pay,
5862,Multibit wallet,
11578,"Confused about, about:config and turning javascript.enabled to False",
9574,tails and pgp question,
4978,How do I use PGP?,PGP/GPG
44663,Rookie Security/Anonymous,
