thread_id,Product Name,LLSum,AutoCat
1643,Advanced Modern Warfare 3 Editor V2.0,18,eBooks – Technical
1648,[PHP] Mass Mailer,20,eBooks – Technical
1658,Find A Installable Vb,0,Other
1667,Drreddy official site Shell link,12,Other
1680,Symlink v3 on 2011 servers,17,eBooks – Technical
1692,ProxyFire Master Suite 1.24 * Best Prog Proxy,51,Anonymity – Proxies
1715,"""Index of /sh3llZ"" Upload your shell",30,eBooks – Technical
1725,"How to get free Apple, Ebay, Amazon, Nintendo and many more Gift Cards",242,Fraud
1732,Video - Attack Dos SlowLoris By BlackHat,13,Other
1737,Shell Link of a edu site,12,Other
1741,[Please] Viruslover Please hack admin and password,94,Other
1742,Xss And Sql vul in maatv.com,65,Anonymity – VPN
1743,imagesunlimited.com.pk shell link,65,Anonymity – VPN
1790,Video SqlMap By BlackHat,11,Other
1791,Google string - Accessing file. SQL sites in joomla!,83,Carding
1792,social Engineering,20,Drugs – General
1793,[Tutor] How to get Ip msn,42,Fraud
1794,Breaking passwords Sistem Ubuntu,24,Hacking – Wireless Networks
1795,Sniffer with Netcat,49,eBooks – Technical
1796,Netcat: The network Swiss army knife,21,Digital Forensics
1797,Microsoft Iss FTP 5.0 Remote SYSTEM Exploit,46,eBooks – Technical
1798,--==--== SQL Injection - Advanced Tutorial ==--==--,64,Carding
1799,Video Attack DDos By BlackHat,48,Denial of Service
1800,Brute Force SSH Attack,8,Other
1801,Blind Sql injection,34,eBooks – Technical
1910,How to find ip behind the cloudfare!,33,Anonymity – Proxies
1929,Root Access in Ubuntu,20,Anonymity – Tor
1946,How to hack site after getting database logins,60,Hacking – Website
1947,Yaldaram.com site hacked database leaked,65,Anonymity – VPN
1951,Eniter server websites config files,19,eBooks – Technical
1964,Four sites H@CK3D BY HH with lovely deface,83,Carding
1980,Understanding .htaccess attacks & Malware Infecting.,59,Malware Authorship
1981,Recovering password MSN / Hotmail,18,Hacking – Website
2016,anucde.info Hacked login details out,216,Cashing Out
2017,Collection of UDP and TCP shells (checked),63,eBooks – Other
2089,Proxy lists today,51,Anonymity – Proxies
2094,Combo-list gold 2012 ★ all server ★,150,eBooks – Technical
2114,Safemode bypass TUT [All methods],19,Cashing Out
2115,WordPress Easy Comment Upload Vunerablity,17,Fraud
2116,All webapplication Techniques,10,Other
2119,Blogger.com vul,65,Anonymity – VPN
2135,Symlink 404 error bypass,12,Other
2225,Download Shells Defacemment,8,Other
2296,That Exploit Lock FireFox,80,Lockpicking
2407,vBulletin® Version 4.1.7 Beta 1 Mullti Vulnerability[RFI],11,Other
2408,Imageview 6 File Upload Exploit,44,Hacking – Website
2445,najeebmedia.com hacked by virus,65,Anonymity – VPN
2453,Script SQL Help Scan Dork,44,Other
2454,OpenSSL Exploit Code (SLAPPER) = LINUX X86 APACHE,44,Hacking – Website
2491,how to get Cpanel password without encrypted,42,Fraud
2525,Loic's Online hahahah,29,Anonymity – Other
2526,Operating System,0,Other
2527,New techniques of social engineering,22,Resources – Identity Documents
2572,Up Shell In WebSites,12,Other
2596,Release / dokuwiki Arbitrary File Upload Vulnerabilirty,16,eBooks – Technical
2601,How to Hack Facebook Account Using Phising WebPage (Best 4 Starters),191,Hacking – Website
2603,Ip stealer,33,Anonymity – Proxies
2646,Finding Zone Admin For Google,31,SEO
2673,Dork From LFD ( Local File Disclosure ),13,Other
2674,Local File Download Theory,8,Other
2713,How to format USB Flash Drive using Terminal,28,Anonymity – Other
2725,WordList,0,Other
2767,Private shell Till now Just released,13,Other
2814,FCKeditor V2 Remote File Upload Exploit,44,Hacking – Website
2815,How To Hack vBulletin 4.1.10 Admin Control Panel,60,Hacking – Website
2816,CloudFlare Main Site Security Wholes,29,Other
2817,Hack Any Cpanel Accounts That They Are Not Secured,88,Hacking – Website
2818,How To Crash Any Site Cpanel Account,77,Anonymity – VPN
2819,Phpmyadmin Exploit (Tut),44,Hacking – Website
2837,joomla SQL Injection,42,eBooks – Technical
2838,vBulletin vBShout 6.0.5 Cross Site Scripting,8,Other
2839,Pale Moon Web Browser v11.0 (Multi Looping) DOS exploit,149,Anonymity – Tor
2847,52 sites hacked Ion Server rooted :D,83,Carding
2848,Icf shell for crackingfire,28,Cashing Out
2851,87000 wordlist for cracking hashes,28,Hacking – Wireless Networks
2889,How to RUIN somebodies life[Cyber Killing],27,eBooks – Technical
2891,Metasploit Unleashed : Owning the bOx !! [TUTORIAL],75,Transportation/Stealth
2892,Beginner Hacking Kit,281,Hacking – General
2918,Faceb00K H4ck Script !! [Undetectable+Small+FTP Logs +Priv8],13,Other
2919,Mybb Zero Day admin cookie brute force,26,Other
2998,[DORKS]Gain Access To Unprotected live Webcams Using Google & Watch out live from Pc,190,Cashing Out
2999,"How to get & use ""Proxifier"" for free! [Proxy Client]",145,Fraud
3000,[TUT][EZ]Cracking Win7 passwords/xp[TUT],52,Hacking – Wireless Networks
3048,Access Android Of My Computer SSH,58,eBooks – Technical
3052,LeeTsHost.com | Secured 100% | Shared Hosting,65,Anonymity – VPN
3089,[Remote Exploit]Microsoft TS Use after Free,103,Fraud
3202,Private Admin page FInder [TOF FINDER],26,Other
3287,Joomla Component com_seyret Blind SQL Injection Vulnerability,42,eBooks – Technical
3288,XSS : Cross Site Scripting Tutorial,64,Carding
3367,Joomla 2.5.0-2.5.1 Time Based SQL Injection Exploit,44,Hacking – Website
3471,[Release] PhizoShell 1.0 - PHP Shell [Free],103,Fraud
3495,Proxyjudges [Updated],0,Other
3544,Proxy Vip For Hide My asse 16/04/2012,51,Anonymity – Proxies
3578,Proxy Vip For Hide My asse 17/04/2012,51,Anonymity – Proxies
3579,browser Mantra,149,Anonymity – Tor
3611,Root Access In Linux,25,eBooks – Technical
3643,Speed up ur InterNett,19,Drugs – Production
3649,Proxy Vip For Hide My asse 18/04/2012,51,Anonymity – Proxies
3701,How to easily identify Vulnerabelidades Local File Inclusion,10,Other
3803,hide my asse proy vip 23/04/2012,29,Other
3844,Elite Proxy Switcher [ Good Proxy Checker ] Expression,102,Anonymity – Proxies
3848,hide my asse proy vip 24/04/2012,29,Other
3853,Sentry MBA Latest Version (1.4.1),11,Other
3875,IPB XSS vulnerability,0,Other
3876,list to find admin page,131,eBooks – Technical
3878,How to find a site using joomla or wordpress,21,eBooks – Technical
3909,NetCat,0,Other
4031,"Critical 0-Day in Hotmail, AOL and Yahoo allows changing passwords",24,Hacking – Wireless Networks
4032,[TUT] Make a PHP Rat [TUT],20,eBooks – Technical
4069,new proxy for hide my asse 30/04/2012,51,Anonymity – Proxies
4071,Protect Yourself From Hackers,78,Hacking – General
4082,New fersh proxy vip for hide my asee 1/05/2012,51,Anonymity – Proxies
4130,hide my ass proxy  02-05-2012,51,Anonymity – Proxies
4174,CPANEL Brute Forcer in perl,9,Other
4176,God Mode Windows,16,Doxing
4177,hide my asse proxy vip 4/05/2012,51,Anonymity – Proxies
4187,SSL Attack,8,Other
4188,LFD ( Local File Download ) By BlackHat,8,Other
4226,Big List Google Dorks LFI e RFI,131,eBooks – Technical
4229,Boolean based SQL Injection,34,eBooks – Technical
4235,Hack and set a Backdoor in Windows,60,Hacking – Website
4489,facebook Upload exploit,155,Hacking – Website
4543,ST Proxy Switcher Latest Version 3.0.53,51,Anonymity – Proxies
4566,Proxifier latest version 3.15 + key,140,PGP/GPG
4575,Dl-Bruter Scanner It Includes (PortScan & Web Bruter),47,eBooks – Technical
4632,Hack websites with exploitmyunion v2.1,60,Hacking – Website
4743,[ Video ] Exploit Google Hacker By BlackHat,100,Hacking – General
4793,How to Use Cookies in Mozilla Firefox,37,Anonymity – Proxies
4815,PHP 5.3.8 Multiple Vulnerabilities,20,eBooks – Technical
4835,[ VIDEO ] Exemple Brute Force,11,Other
4931,Solution for SQL Injection,47,eBooks – Technical
4940,Proxy Switcher Standard 5.5.0.5935,51,Anonymity – Proxies
4994,Hackers Forum got Hacked By Third_Eye,107,Hacking – General
4995,Game Over Your Soul is Mine,53,eBooks – Technical
5082,New fersh proxy vip for hid my asse 25/05/2012,51,Anonymity – Proxies
5337,Can someone crack Mr Skin.,17,Other
5403,problem in config netload sentry mba,14,Other
5411,Cracking Tools Section Rules !!!,28,Hacking – Wireless Networks
5412,Email list to crack emails :D,131,eBooks – Technical
5438,LFI RFI Scanner,0,Other
5440,Search SQL errors in Chinese domain,61,SEO
5441,OWASP Joomla! Scanner de Vulnerabilidade,8,Other
5442,SQLI Vulnerável Scanner (MySQL / MSSQL / JetDB),9,Other
5443,php scanner sql online,54,eBooks – Technical
5444,poxy vip for hide my asse,29,Other
5468,Download BackTrack 5 R2,19,Hacking – Wireless Networks
5470,new proxy vip for hide my asse 01/06/2012,51,Anonymity – Proxies
5496,new fersh proxy vip for hide my asse 02/06/2012,51,Anonymity – Proxies
5527,Rapidshare premium account,179,Anonymity – VPN
5744,hide my asse vip proxy 5/6/2012,51,Anonymity – Proxies
5767,fresh combo by EZleecher NG 3.2,0,Other
5774,"Hotfile Valid Users , Vip Users,Combo, Wordlist",20,Anonymity – Tor
5786,new combo (EZleecher NG 3.2,22,Resources – Identity Documents
5802,new combo by EZleecher 3.1.8,22,Resources – Identity Documents
5838,audrey bitoni hack?,60,Hacking – Website
6207,SET + ettercap,9,Other
6224,[Video-Tut] How to check proxies with Proxyfire,49,eBooks – Technical
6240,Admin login grabber see all members,26,Other
6257,WOrdlists 16/06/12,0,Other
6258,Get your slaves IP&WITH A LINK!,106,eBooks – Technical
6270,Proxy 19th June,51,Anonymity – Proxies
6276,REFLECT LOGGER v1 [FUD 0/37],11,Other
6289,alldebrid premium acc,102,Anonymity – VPN
6297,sentry problem,14,Other
6298,rapidshare premium,102,Anonymity – VPN
6299,[Tutorial] DoS Attack On A Network.,64,Carding
6369,canildonclars Hacked By Brazilian Cyber Army,29,Hacking – General
6382,Admin Finder,26,Other
6401,Game Over Your Soul Is Mine,53,eBooks – Technical
6557,Proxy 25 June,51,Anonymity – Proxies
6564,Proxies Types,47,Anonymity – Proxies
6566,Member Login Areas: Types,0,Other
6598,Exploit Vbulletin Blog 4.0.2 XSS Vulnerability,44,Hacking – Website
6624,sentry mba wich is define failure key and Define Succes Key? how to find them?,280,PGP/GPG
6634,Proxy 27 june,51,Anonymity – Proxies
6635,Proxy 27 june,51,Anonymity – Proxies
6851,Types Pentest,7,Other
6976,Adfly Bot 7/07/2012,14,Other
6977,HMA Proxy Grabber 7/07/2012,51,Anonymity – Proxies
6978,MyToob- The Ultimate Youtube Hack Pack,73,Hacking – General
6979,YouTube Downloader,0,Other
7006,Combo list 7 july,131,eBooks – Technical
7040,Fresh anon proxyes,28,Anonymity – Other
7041,# # # MS Windows Vista / 7/2008 Server-DOS Exploit # # 9 # 09 2009,44,Hacking – Website
7080,Learn How To Hack Web Servers,64,eBooks – Technical
7139,Cookie Stealing Tutorial,64,Carding
7147,Metasploit Explained for Beginners,41,eBooks – Technical
7190,Anon proxyes today,28,Anonymity – Other
7203,Getting hundred of thousands FRESH email lists daily,57,Anonymity – Other
7225,PlayBoy Of Italy Leacked By _Trish - Brazilian Cyber Army,27,eBooks – Technical
7230,cPanel X,0,Other
7233,[ Tutor ] Install The Software Center Of ubunto in BackTrack,30,Hacking – Wireless Networks
7266,1X Small & Good ComboList 15.07.2012,32,Anonymity – VPN
7334,Crack Meatmembers Popup - Success Key Included,140,PGP/GPG
7418,Pentest own PC with the virtual machines do not work!,49,eBooks – Technical
7419,Discovering vulnerabilities in WordPress - WPSCAN,7,Other
7497,Metasploit Update,22,Anonymity – Tor
7914,DL4Hacks CloudFlare IP Bypasser (Get Real Ip Under Cloud,66,Anonymity – Proxies
7968,[TuT] Use Windows 7 Without Activation,22,Anonymity – Proxies
7979,[How to]Cross Site Scripting and cookie stealing,9,Other
7980,[TUT] How to Create a virtual encrypted disk,43,Modifying Credit
7981,How to use the WebDav exploit to hack RDP's-with tools,104,Hacking – Website
7992,How To Make A ScanTime Crypter Using RC4 VB.NET,9,Other
8032,[Tut] How Shut Down A Vps Using Metasploit [Exploit],44,Hacking – Website
8033,[TUT] Metasploit hack win7 - Detailed for beginners (Backtrack [TUT],78,Hacking – General
8074,930  Elite proxies  05-08-12  L1-L2,47,Anonymity – Proxies
8080,Socks 5 Proxy Servers (950) 5-8-2012,224,Anonymity – Proxies
8136,RapidShare Combo 5/8/2012,0,Other
8137,"10,000 passwords + HOTMAIL",24,Hacking – Wireless Networks
8138,France Pass Lists,23,Counterfeit Currency
8139,German Pass Lists,23,Counterfeit Currency
8140,[TUT] How To use EPIC LEECH to leech Usernames [TUT],22,Anonymity – Proxies
8176,Tutorial asp injection,64,Carding
8199,My Personal Combo list FOr Porn Site Part 1,144,eBooks – Technical
8200,"My personal combolist!! LiveJasmin,BangBros,NA and more",20,Other
8201,"brazzers,realitykings,mofos,naked,wicked,naughtyam erica all",9,Other
8202,"7,198 BTGuard usernames",7,Other
8283,How to Crack Cpanel,0,Other
8296,Easter Egg,0,Other
8297,enabling Auto-Summary in Word 2007,8,Other
8298,Creating a PPTP VPN on Linux,777,Anonymity – VPN
8358,Install Metasploit On Ubuntu,17,eBooks – Technical
8390,Alex To hooker why cry out (Figure),190,Cashing Out
8422,90 guaranteed combos for pornpros.com,65,Anonymity – VPN
8494,MD5 BruteForce Em Perl,9,Other
8495,Tip Basic How to Protect Yourself From Hackers,78,Hacking – General
8545,BackTrack 5 r3 Release ^^,28,Hacking – Wireless Networks
8547,[Theme] New Theme -Anonymous Owner,115,Anonymity – Other
8549,Hotel Booking Portal v0.1 Multiple Vulnerabilities,7,Other
8561,Uniscan 5.2 released - vulnerability scanner,0,Other
8613,Tor - Browser,1099,Anonymity – Tor
8822,"Good Working Proxies. August 21 , 2012",47,Anonymity – Proxies
8871,WebSite Hacked By Brazilian Cyber Army,29,Hacking – General
9027,Google Dorks [Find sites for SQLi],98,Carding
9105,n00b istealer dork google find logs,31,SEO
9168,[Tutorial] SqlMap By BlackHat,64,Carding
9182,Web Site Hacked By B.C.A,47,eBooks – Technical
9184,Web Site Hacked By B.C.A,47,eBooks – Technical
9185,Other Site Owned By B.C.A =),13,Other
9282,"frech new email combo (filefactoey,rapidgator,.turbobit)",57,Anonymity – Other
9452,Speed L1 Elite Proxies,47,Anonymity – Proxies
9456,5/09/12 / High Anonymous Proxy Servers checked,115,Anonymity – Other
9468,OCX Registrator,0,Other
9475,Some Work Done By Me,27,Other
9499,C-Force Tutorial by Carpetboy,64,Carding
9503,SQLI DoS script for SQL injection vulnerability,47,eBooks – Technical
9505,-=[Charon v0.6]=-,0,Other
9575,Brazzers Vulnerable Xss By Brazilian Cyber Army,27,eBooks – Technical
9588,Scrapebox Passed HTTP Proxies,54,Anonymity – Proxies
9621,SqlMap For Windows GuI,28,Cashing Out
9627,The BEST Way To Attack HOME CONNECTIONS! || Dos || nMaP,29,Drugs – Production
9628,Sqlpoision 1.0 advanced,7,Other
9749,Facebook fisher tool vb Source code,111,Hacking – Website
9750,How admin bypass vul works,26,Other
9769,"TeamHav0k found XSS vulnerability in DcShoes, SpikeTV, Adidas shoes, 2 UK & 1 Brazil",36,Transportation/Stealth
9771,CyberGhostVPN 5147 Leeched Usernames,0,Other
9790,JusBrazil Vulnerable XSS By Brazilian Cyber Army,27,eBooks – Technical
9925,DL4Hacks Port Scanner,7,Other
9942,Ubuntu Hacker (Pentest),107,Hacking – General
9943,Protect Your WebSite Against Sql Injection,64,eBooks – Technical
9971,How to make phishing page of any website,102,Fraud
9974,DataBase AvgExpress By Brazilian Cyber Army,51,eBooks – Technical
9990,Lets Dance Pawned,0,Other
10002,DataBase Leaked Defender Of The State Of Pará Brazil By Brazilian Cyber Army,51,eBooks – Technical
10033,WHCMS Owned,0,Other
10046,Cracking Fire Shield Activated.......,28,Hacking – Wireless Networks
10053,DataBase Exposed By Brazilian Cyber Army,51,eBooks – Technical
10056,Cracking Fire Sheild Activage Again and Again..,28,Hacking – Wireless Networks
10133,Optima Botnet v.10 0DAY,10,Other
10145,Fire Activated Again..,9,Other
10212,[wordlist]  fresh unchecked combo (date=22 ),7,Other
10275,Am I allow requesting?,14,Other
10373,SQL Injection Wrapper For Metasploit,47,eBooks – Technical
10374,Using Netstat To Find Viruses,23,Malware Authorship
10375,Priv8 Symlink(PHP) Exploit,44,Hacking – Website
10376,Blind Sql Injection Vulnerability LLC(2011),34,eBooks – Technical
10562,Domain intersecmag.co.uk Leaked By Brazilian Cyber Army,36,Transportation/Stealth
10563,South African Dilmah Tea Hacked..,29,Hacking – General
10608,Web Vulnerability Scanner Source Code,47,eBooks – Technical
10609,Hacker Theme,100,Hacking – General
10610,[Source] Drop shadow [GDI],199,Transportation/Stealth
10611,Folder lock source code,80,Lockpicking
10632,Oct2- L1,0,Other
10633,Oct2- Sock5,8,Other
10688,wTools | Host To IP | Geo-IP | CloudFlare Resolver | AIO Skype Tools,73,Anonymity – Proxies
10690,[VB.NET] 4Shared Downloader Without Premium Account [Source Code],179,Anonymity – VPN
10691,[VB.NET] Base64 Viewer [SOURCE CODE],7,Other
10694,[Vb.net]Rapidshare downloader uses Premium account[Sourc,179,Anonymity – VPN
10699,[vb.net]Hotfile Downloader Use Premium account[vb.net][Source],186,Anonymity – VPN
10702,LOIC (Low Orbit Ion Cannon) Source Code,7,Other
10786,Simple Autoupdate script,9,Other
10787,[Simple and easy] The application is allready running [SRC],41,eBooks – Technical
10859,Fresh Checked Anonymous Proxies (5 Oct),115,Anonymity – Other
10867,http://www.skae.in/ Hacked By Brazilian Cyber Army,33,Cashing Out
10882,Havij Pro 13 Registred version,0,Hacking – Website
10899,[vb.net] Forum Login Using HttpWebRequest Another Way [Source Code],18,Other
10900,[vb.net]How to Use the Proxies in your downloader[Source Code],69,Anonymity – Proxies
10920,"2012 Linux Local Root for >=2.6.39, 32-bit and 64-bit | 2.6.39 linux root",63,eBooks – Technical
10921,Google Dorks To Find Unsecure Web Admin,47,eBooks – Technical
10939,Big Dork List By 16Dz,131,eBooks – Technical
10940,Proxyfire Master Suite v1.24,9,Other
11004,Simple Chat Programm,9,Other
11045,WebSite Hacked by Brazilian Cyber Army @TeamBCA,29,Hacking – General
11054,botanica.org.br Hacked By Brazilian Cyber Army,29,Hacking – General
11055,Web Site Hacked By B.C.A,47,eBooks – Technical
11057,User/Combo Forum Leecher,18,Other
11058,Wordlists Aio collections in GBs,9,Other
11059,Forum Leecher with Word List Functionality,180,eBooks – Technical
11060,FJLeecher - Forum User Leecher + Wordlist Tool,18,Other
11061,ELITE Proxies leecher,47,Anonymity – Proxies
11062,Wordlist Maker Tool many Options,11,Other
11065,C-Force v1.01b [new link for download added],36,Cashing Out
11097,WebSite Hacked by Brazilian Cyber Army @TeamBCA,29,Hacking – General
11119,[VB.Net ] Themes Collection [ VB.Net ],63,eBooks – Other
11120,Hacked portalgeo.com.br By Brazilian Cyber Army,65,Anonymity – VPN
11197,Shell link for you,28,Cashing Out
11198,"Shop,yahoo etc email list my personal 20k more",131,eBooks – Technical
11203,Google Dorks To Find Unsecure Web Admin,47,eBooks – Technical
11225,New Exploit to get a Fresh mail list BY 16DZ,175,eBooks – Technical
11229,Error Based Sql injection Fully Explained,34,eBooks – Technical
11230,FReshly exploited email list 500,131,eBooks – Technical
11231,Blackshades NET 5 RAT Cracked | MediaFire |,9,Other
11249,Webroot hack tools,60,Hacking – Website
11257,Hash Types [You will need it],24,Other
11286,[0day] Profile Albums MyBB plugin SQLi,9,Other
11287,[0day] Cartweaver 3 LFI exploit,44,Hacking – Website
11288,Follower User MyBB plugin SQL Injection 0day,34,eBooks – Technical
11292,Youlikehits Exploit # 2. More Instant Points ( linkedln ),44,Hacking – Website
11298,[SQLi list] 297 vulnerable sites,131,eBooks – Technical
11313,portal.ufsj.edu.br Exposed DataBase By Brazilian Cyber Army,51,eBooks – Technical
11331,Pawned..........,0,Other
11336,Follower User MyBB plugin SQL Injection video tutorial,64,Carding
11337,All solutions to break the security Safe Mode To Server's,44,Other
11338,Pangolin sql injector,34,eBooks – Technical
11391,Email Combo Fresh Leeched 51788,57,Anonymity – Other
11394,Email list 1k exploited,131,eBooks – Technical
11403,Basic sql injection detailed tutorial for private wordlists,91,Carding
11459,Game Over Your Soul Is Mine,53,eBooks – Technical
11489,AIOHNB config. Skype Username Leecher,0,Other
11552,80k Wordlist,10,Other
11578,exploit for this system ?,96,Other
11598,Combo Editör,0,Other
11714,1k email list just exploited,131,eBooks – Technical
11784,Email List Fresh Extract 25.10.2012 Only Hotmail 187956 #01,131,eBooks – Technical
11785,Email List Fresh Extract 25.10.2012 Only Gmail 65365,131,eBooks – Technical
11796,Email List Fresh Extract 25.10.2012 Only Yahoo 186063 #01,131,eBooks – Technical
11804,Crocko.com Valid User Checked 116854,65,Anonymity – VPN
11806,Realitykings - how we can watch for free ?,103,Fraud
11893,Email List Fresh Extract - various e-mail providers no hotmail+yahoo [639450] #01,147,Transportation/Stealth
11908,4 Domain Of Usp.br Hacked DataBase By Brazilian Cyber Army,51,eBooks – Technical
11909,"Sql Database, Tables, columns, dump. manual",58,eBooks – Technical
11934,email lists not combo,57,Anonymity – Other
12331,http://nrc.org.pk/ Hacked By Brazilian Cyber Army,29,Hacking – General
12333,http://pcp.org.pk/ Hacked By Brazilian Cyber Army,29,Hacking – General
12407,New : SQL Injection Vulnerable Sites,83,Carding
12413,Game Over Your Soul Is Mine,53,eBooks – Technical
12498,"TeamSpeak.com - Freshly Forum Name Leeched over 70,000",65,Anonymity – VPN
12607,Ztod.com Valid User Checked 37289,65,Anonymity – VPN
12774,Lets Dance Its Party Time,9,Other
12851,Email list exploited,131,eBooks – Technical
12894,Another 10 Sites Owned.........,83,Carding
12901,ryushare javascript,96,eBooks – Technical
12909,Ardamax Keylogger 4.0 crack+serial FULL,11,Other
12990,MBM Corporation HACKED DataBase By Brazilian Cyber Army,51,eBooks – Technical
13024,Bitshare/Freakshare Fast Cracker V2 by Buddah,21,Hacking – Website
13115,How To Hack WebSite Using Havij ( tutorial Video ),0,Hacking – Website
13317,Helping getting success key for this site,140,PGP/GPG
13342,6 Sites Owned............,83,Carding
13381,22 Sites Got Hacked ....... ( Third_Eye),83,Carding
13491,XSS vulnerability,0,Other
13620,Asp Injection,15,Hacking – General
14185,livejasmin,0,Other
14207,Crocko.com [NEW UPDATE] Valid User Checked 205313 #02,65,Anonymity – VPN
14330,Gigapeta.com [NEW UPDATE] Valid User Checked 52065 #02,65,Anonymity – VPN
14392,Ztod.com [NEW UPDATE] Valid User Checked 51348 #02,65,Anonymity – VPN
14393,Megashares.com [NEW UPDATE] Valid User Checked 122660 #02,65,Anonymity – VPN
14501,Combolist Email for Filehost by Zack_Master,57,Anonymity – Other
14502,Combolist Hulu Valid Fresher 09.12.12,0,Other
14504,Combolist Premiumize by Zack_Master,0,Other
14505,Combolist Underwearstds Fresher 09.12.12 by Zack_Master,0,Other
14515,Proxylist Fresh 1 by Zack_Master,0,Other
14516,Proxylist Fresh 2 by Zack_Master,0,Other
14517,Proxylist Fresh 3 by Zack_Master,0,Other
14518,Proxylist Fresh 4 by Zack_Master,0,Other
14519,Proxylist Fresh 5 by Zack_Master,0,Other
14521,Proxylist Fresh 6 by Zack_Master,0,Other
14635,Forum.Zevera.com Valid E-Mail Checked [just e-mail address 74737],348,Transportation/Stealth
14636,Forum.Strongvpn.com Valid User Leeched 15726,86,Anonymity – VPN
14637,Forum.Privatecommunity.com Valid User Leeched 145375,65,Anonymity – VPN
14638,Forum.Exposedforums.com Valid User Leeched 74179,65,Anonymity – VPN
14649,Forum.Giantbomb.com Valid User Leeched 158309,65,Anonymity – VPN
14650,Forum.Naughtyamerica.com Valid User Leeched 21805,65,Anonymity – VPN
14652,Forum.Kingsex.eu Valid User Leeched 26156,18,Other
