Product Name,New Code,LLSum,AutoCat
$15 DICKEY'S BBQ Gift Card - INSTANT!,,178,Carding
"$2,500 100k Factory Complete Course - All Lessons Included!",,21,Drugs – Production
$20 DEL TACO Gift Card - INSTANT!,,178,Carding
$20 US Counterfiet Template. Print your own money!,,62,Counterfeit Currency
$200 Per Day Blackhat Method,,117,Cashing Out
$200+Daily.,,10,Other
$2300 in 3 Days using Twitter Traffic.,,121,SEO
$25 PANDA EXPRESS Gift Card - INSTANT!,,178,Carding
$300 Easily.,,45,Other
$50USD Best Western Gift Card,,205,Carding
$567.21+DAY CPA METHOD.,,117,Cashing Out
$997 Niel Patel’s Advance Marketing Course 20GB!,,14,Other
0.50(Just the tip)&&(Shipping$$differences),,192,Transportation/Stealth
"1,001 Facts that Will Scare the S#*t Out of You",,184,Drugs – General
"1,001 Facts that Will Scare the Shit Out of You: The Ultimat",,184,Drugs – General
10 Insider Secrets to a Winning Job Search,,79,SEO
10 Questions to Test Your Spying Abilities,,28,eBooks – Technical
"10,000 Items Final Version V1.1.5 (Updated December 2015)",,21,Carding
"10,000 or higher credit card even if your credit sucks ▄▀▄▀▄▀▄▀▄▀▄▀▄▀▄▀▄▀▄▀▄▀▄▀▄▀▄▀",,258,Modifying Credit
100 Ways To Disappear,,57,Anonymity – Other
100 Ways to Motivate Others,,27,Anonymity – Other
100% LEGAL SOLID AMAZON SELLING SYSTEM - I MADE OVER $110k+,,75,Fraud
100% Original Money Laundering Method,,153,Cashing Out
100% Success With Bank Transfers (Tutorial),,74,Carding
100% Successful Bank Transfers,,57,Cashing Out
100% successful Bank transfers,,57,Cashing Out
"100+ links to Websites that sell CC, Paypal, Bank logins !",,828,Cashing Out
100$ daily Method - Noob friendly,,117,Cashing Out
1000 Best Wine Secrets,,25,Drugs – Production
1001 Series 7 Exam Practice Questions For Dummies 2015,,28,eBooks – Other
100K Bucks a Year BIG TUTORIAL!!,,69,Carding
101 Facebook Marketing Tips and Strategies for Small Busines,,111,Hacking – Website
101 Romantic Ideas,,0,Other
101 Salary Secrets: How to Negotiate Like a Pro,,25,Drugs – Production
101 Ways to Make Money with Your iPhone or Android ! FAST !,,142,eBooks – Technical
102 Drug Ebooks v2.0,,105,Drugs – General
11 Laws Of Manipulation,,0,Other
11th Hour CISSP Study Guide 2nd edition 2014,,316,eBooks – Technical
12 Simple Ways to Promote your Website,,28,eBooks – Technical
12 Steps to Breaking into Houses Successfully,,15,Drugs – General
"12,000+ Kindle Book Pack",,147,eBooks – Technical
13 Amazing Secrets You Need To Succeed,,25,Drugs – Production
13 Things that Don't Make Sense,,16,eBooks – Other
15$ in 15minutes,,7,Other
2 METHODS FOR UNLIMITED '.edu EMAILS',,34,Cashing Out
20 Makey Makey Projects for the Evil Genius 2017,,39,eBooks – Technical
20 Ways To Make $100 Per Day Online (Noob Friendly),,56,Anonymity – Other
2000 MONEY MAKING GUIDES - HUGE Potential,,43,Counterfeit Currency
2017 2018 ASVAB For Dummies 2017,,28,Fraud
2017 COINBASE- PAYONEER - BANK TRANSFER,,105,Cashing Out
"2017 Guide to Acquiring, Aging and Passing Counterfeit USD",,107,Counterfeit Currency
2017 HOW TO CORRECTLY DO BANK TRANSFERS,,66,Cashing Out
2017 List of 108 Cardable Websites!! Updated!!!,,140,eBooks – Technical
2017 SUPER MONEY MAKING MACHINE $100-$800 DAILY,,43,Counterfeit Currency
2017 Ultimate Guide List,,155,eBooks – Technical
2017 WESTERN UNION Method,,131,Cashing Out
21 Income Streams - Multiple Ways To Make Money Online,,38,Anonymity – Other
21 Income Streams- Multiple Ways to Make Money Online,,38,Anonymity – Other
"21 Lessons Learned From Sending Over 110,000 Emails.",,21,Carding
21 Techniques Of Silent Killing,,10,Other
21 Techniques of Silent Killing,,10,Other
22 Ways To Kill a Man With Your Bare Hands,,64,eBooks – Technical
22 Ways to Kill a Man with Your Bare Hands,,64,eBooks – Technical
25 Classic Books,,70,eBooks – Other
25 Need to Know MBA Models 2017,,14,Other
250+ daily,,0,Other
"28 Things You Can Do To Annoy Friends, Neighbors",,26,Other
2D Apple Games by Tutorials 2016,,48,Carding
3 GUARANTEED WAYS TO CASH OUT--100% WORKING (2016),,341,Cashing Out
3 in 1! 100% WORKING GUIDES,,20,Cashing Out
3 Steps To Kindle Riches,,11,Other
3 Ways to Clean before Cash-Out,,346,Cashing Out
3D Apple Games by Tutorials 2016,,48,Carding
3D Printed Science Projects Volume 2 2017,,36,eBooks – Technical
3D Printer Projects for Makerspaces 2017,,52,eBooks – Technical
3D Printing and CNC Fabrication with SketchUp 2015,,49,eBooks – Technical
3D Printing For Dummies 2nd edition 2017,,343,eBooks – Technical
4 Paypal Verification Methods,,350,Cashing Out
40 $ a Day EASY METHOD,,117,Cashing Out
40$ A Day From Google Adsense,,31,SEO
400$+ Daily method,,117,Cashing Out
465 Social Bookmarking Sites + Tutorial,,141,Carding
470 Crock-Pot Recipes,,21,Other
5 Malware Scanners You Should Know About,,43,Malware Authorship
50 Insanely Quick and Easy 5 Ingredient Recipes,,21,Other
50 Visions of Mathematics 2014,,7,Other
500 Million Ways To Make Money On Facebook,,111,Hacking – Website
500 Per Month Ecommerce Create an Extra Income Source 2017,,43,Modifying Credit
500 Social Media Marketing Tips Essential Advice Hints,,21,Other
"500,000 + alibaba Verified sellers and customers leads",,11,Other
500$ a DAY with FACEBOOK !NOOB FRIENDLY!,,111,Hacking – Website
543 For Dummies E-Books,,79,eBooks – Other
6 ATM HACKING TUTORIALS(LIMITED OFFER),,325,Hacking – General
600+ most popular working Darknet deep web links 2017/2018,,94,Resources – Contact Lists
7 Deadly Poisons For Homicide or Suicide,,28,eBooks – Technical
7 Easy Steps to Help You Get Lost,,56,Fraud
7 Habits of Successful Traders,,0,Other
7 reason why your PBN sucks,,28,eBooks – Technical
7 reasons your PBN sucks [TOTALLY FREE - 0.1 USD],,103,Fraud
7 Success Secrets of Hypnotism,,25,Drugs – Production
70 of the Most Motivational Quotes You Will Ever Find,,17,Other
"70+ scampages including letters , tutorial and mailer",,60,Carding
78 Important Questions Every Leader Should Ask and Answer,,0,Other
8 Tips to Help You Shoplift Successfully,,44,Other
8 Weeks to SEALFIT A Navy SEAL's Guide,,20,Carding
80-85% Validity CC's $ USA $ Visa or Master,,455,Cashing Out
800+ BUSINESS BOOKS SUMMARIZED PACK,,51,eBooks – Other
97 Easy Money Savers...Save Your Way To A Personal Fortune!,,28,eBooks – Technical
A Cryptography Primer Secrets and Promises 2014,,25,Drugs – Production
A FULL GUDIE TO SHOPLIFTING,,12,Other
A Full Guide to Shoplifting!,,22,Doxing
A Game as Old as Empire The Secret World of Economic Hit Men,,27,Other
A guide for start to make Bank Transfers 100% Successfully.,,90,Cashing Out
A Guide To Everything Non-AVS,,20,Carding
A Guide To Everything Non-AVS.,,20,Carding
A Guide To Hide like a Ninja from PayPal,,349,Cashing Out
A Guide To Successful Weight Loss,,20,Carding
A Higher Form of Killing,,0,Other
A Libertarian Critique of Intellectual Property 2013,,16,eBooks – Other
A MAC ADRESS CHANGER SOFTWARE FOR MAC OS,,59,Anonymity – Proxies
A Machine Learning Approach to Phishing Detection and Defens,,83,Fraud
A Machine Learning Approach to Phishing Detection and Defense 2015,,83,Fraud
A Practical Guide to Witchcraft and Magick Spells,,25,Drugs – Production
A Quick Guide on Building a GPU Mining Rig 3rd edition 2017,,212,eBooks – Technical
A Quick Guide to 3D Worlds and Vehicles with Unity 2017,,61,eBooks – Technical
A Quick Guide to C sharp with Unity 2017,,106,eBooks – Technical
A Study of Black Hole Attack Solutions 2016,,9,Other
A Taste of Functional Programming in Scala 2017,,373,eBooks – Technical
A Terrible Mistake The Murder of Frank Olson and the CIA,,11,Other
A Textbook of Modern Toxicology 3rd Ed.,,46,eBooks – Technical
A TO Z STRIPE ECOMMERCE GUIDE,,40,Carding
A User Guide to Successfully Fighting Traffic Tickets (buy 1 get 1 free),,142,Fraud
A Wiccan Bible,,7,Other
Absolute OpenBSD UNIX for the Practical Paranoid 2nd edition,,321,eBooks – Technical
Access 2016 Bible 2015,,21,Anonymity – Tor
ACCESS ANY PHONE BYPASS PASSCODE RETRIEVE ALL DATA,,125,Hacking – Phreaking
Access Contested Security Identity and Resistance in Asia,,66,Resources – Identity Documents
Access Contested Security Identity and Resistance in Asian Cyberspace 2012,,66,Resources – Identity Documents
"ACCOUNT CREATOR EXTREME - VIMEO, NETFLIX, PORN, PSN, MORE",,71,Anonymity – VPN
Account Creator Extreme 4.2,,71,Anonymity – VPN
Adam Gottlieb - The Art And Science Of Cooking With Cannabis,,63,Drugs – Production
Adaptive Web Design Crafting Rich Experiences 2nd ed 2016,,244,eBooks – Technical
ADF.LY Money Machine ! HIGH PROFIT !,,46,Counterfeit Currency
ADOBE ACROBAT DC 2015 ENTERPRISE EDITION,,173,eBooks – Technical
ADOBE ACROBAT DC 2015 WITH ORIGINAL/VALID ENTERPRISE KEY,,140,PGP/GPG
Adobe Acrobat DC Classroom in a Book 2nd edition 2017,,460,eBooks – Technical
ADOBE CS6 MASTER COLLECTION (PC & MAC) RETAIL VERSION,,69,eBooks – Other
Adobe CS6 Master Collection + Crack,,69,eBooks – Other
Adobe Photoshop CS2 - With KeyGen,,44,eBooks – Technical
Adobe Premiere Pro CC Classroom in a Book 2017,,443,Cashing Out
Adopt Creative Thinking & Change Your Life,,36,eBooks – Technical
ADSENSE BlackHat Edition | Underground Adsense Tips,,153,eBooks – Technical
Adsense King Earn alot ONLINE,,29,Anonymity – Other
Adult Method to make 1k$ per day No investment,,117,Cashing Out
Advanced Memory: BOOST YOUR BRAIN,,28,eBooks – Technical
Advanced Microservices A Hands on Approach 2017,,23,eBooks – Technical
Advanced Object Oriented Programming in R 2017,,381,eBooks – Technical
Advanced Oracle PL SQL Developer's Guide 2nd edition 2016,,420,eBooks – Technical
Advanced Persistent Security A Cyberwarfare Approach 2017,,31,Other
Advanced Persistent Threat Understanding the Danger and How to Protect Your Organization 2013,,43,Hacking – General
Advanced Persistent Training 2017,,20,Hacking – General
Advanced Software Testing Vol 1 Guide to the ISTQB Advanced,,37,Hacking – General
Advanced Splunk 2016,,9,Other
Adventures Of Huckleberry Finn by Mark Twain,,0,Other
Affiliate Marketing | Definitions For Beginers,,26,Cashing Out
Affiliate: Money Making Guide,,43,Counterfeit Currency
After Snowden Privacy Secrecy and Security in Information,,71,Anonymity – Other
AFTERHOCK - Profit in the Financial Meltdown,,9,Other
Against Austerity How We Can Fix the Crisis They Made 2014,,21,eBooks – Other
Agenda for a New Economy From Phantom Wealth to Real Wealth,,42,eBooks – Technical
Agents of Empire Knights Corsairs Jesuits and Spies,,8,Other
Agile Android 2015,,58,eBooks – Technical
Agile Application Security early release 2017,,90,eBooks – Technical
Agile Development in the Real World 2015,,110,eBooks – Technical
Agile Modeling with UML Code Generation Testing Refactoring,,48,eBooks – Technical
Agile Product Management Kanban Guide and Product Backlog,,25,eBooks – Technical
Agile UX Storytelling 2017,,14,Other
Akka Cookbook 2017,,41,eBooks – Technical
Al Qaeda The Islamic State and the Global Jihadist Movement,,8,Other
Alfresco for Administrators 2016,,26,Cashing Out
Algebra II For Dummies 2nd edition 2015,,330,eBooks – Technical
Alice Adventures in Wonderland & Through the Looking-Glass,,15,Anonymity – Tor
Alien Mind: The Thought and Behavior of Extraterrestrials,,10,Other
Alkaline Herbal Medicine 2016,,9,Other
All best seller guides from DNM !,,26,Carding
ALL FRESH Paypal Phone Sources (Confirmed),,342,Cashing Out
All In Startup Launching a New Idea When Everything,,31,Resources – Identity Documents
Alpha Male - Become an Alpha Male in 30 Days!,,15,Doxing
Alpha02 Guide,,29,Carding
Amazing Sharecash Method [$30 + a Day],,117,Cashing Out
AMAZING The Ultimate Asset Protection & Privacy (buy 1 get 1 free),,157,Fraud
AMAZON + EBAY PACKAGE *2017*,,109,Fraud
Amazon EC2 Cookbook 2015,,75,Fraud
Amazon free gift cards,,178,Fraud
AMAZON GIFTCARDS CARDING SYSTEM 100% SUCCESS NO CC REQUIRED,,1396,Carding
Amazon Master Guide With Video,,86,Fraud
Amazon method,,117,Cashing Out
Amazon Pack,,75,Fraud
"Amazon Package: Amazon Balance, Gift Cards, Receipt",,170,Fraud
Amazon Receipt Generator,,75,Fraud
Amazon Refund Full Guide,,176,Fraud
AMAZON REFUND GUIDE,,176,Fraud
Amazon Refund Method,,176,Fraud
Amazon Refund Method (Detailed and Revamped),,188,Fraud
Amazon Refund Method (Still Working!),,176,Fraud
AMAZON REFUND THE ULTIMATE PACKAGE,,211,Fraud
America the Anxious: How Our Pursuit of Happiness,,21,Hacking – Mobile
America's Great Game The CIA's Secret Arabists,,33,Drugs – Production
American Kingpin Mastermind Behind the Silk Road 2017,,14,Other
American Spies Modern Surveillance 2017,,14,Other
American Surveillance Intelligence Privacy and the 4th Amend,,79,Anonymity – Other
An American Sickness How Healthcare Became Big Business 2017,,29,Carding
"An Introduction to Botanical Medicines: History, Science, Us",,60,eBooks – Technical
An Introduction to Derivatives and Risk Management 10th ed,,98,eBooks – Technical
An Introduction to Excel VBA Programming 2017,,495,eBooks – Technical
Analytics for the Internet of Things IoT 2017,,78,eBooks – Technical
Analyzing and Securing Social Networks 2016,,22,Hacking – Wireless Networks
Analyzing Data with Power BI and Power Pivot for Excel 2017,,178,eBooks – Technical
Anatomy of a Cyberattack 2016,,17,Digital Forensics
And Then All Hell Broke Loose Two Decades in the Middle East,,9,Other
And Yet Essays by Christopher Hitchens 2015,,0,Other
Andriod Emulator,,0,Other
Android Security Attacks and Defenses 2013,,68,eBooks – Technical
Android Security Internals An In-Depth Guide 2015,,68,eBooks – Technical
Android Sensor Programming By Example 2016,,465,eBooks – Technical
Android Studio 2 Essentials 2nd edition 2016,,407,eBooks – Technical
Android Studio Development Essentials Android 6 Edition 2015,,414,eBooks – Technical
Android System Programming 2017,,431,eBooks – Technical
Android Things Projects 2017,,81,eBooks – Technical
Android TV Apps Development Building for Media & Games 2016,,216,eBooks – Technical
Android User Interface Design 2nd edition 2016,,395,eBooks – Technical
Android Wear Projects 2017,,81,eBooks – Technical
Angels Don't Play This Haarp: Advances in Tesla Techno,,97,Other
Angels Dont Play This HAARP Advances in TESLA Technology,,97,Other
"Angels, Women, Sex and the Occult",,11,Other
Angular 4 Pocket Primer 2017,,19,eBooks – Technical
Angular JS for Beginners Your Guide to Easily Learn 2017,,109,eBooks – Technical
AngularJS Directives Cookbook 2015,,41,eBooks – Technical
Angularjs for beginners,,46,eBooks – Technical
AngularJS Maintaining Web Applications 2016,,64,eBooks – Technical
AngularJS Novice to Ninja 2014,,9,Other
ANONS ALL ABOUT AMAZONS LOGINS EXPLOITATION,,16,Doxing
Anonymous RAT setup for dummies,,108,Anonymity – Other
Anonymous.-.Magic.Tricks.for.the.Beginning.Magician,,182,eBooks – Technical
Another 4 Methods to Make Money with CPA $567.21 a Day,,36,eBooks – Technical
Ansible Up and Running 2nd edition 2017,,305,eBooks – Technical
Anti-Browser,,154,Anonymity – Tor
Antidetect Browser 6.5,,154,Anonymity – Tor
Antifraud Systems : Explained.,,10,Other
Antigravity Dream Made Reality The Story of John RR Searl,,22,eBooks – Other
Anxiety and Depression Workbook For Dummies,,28,eBooks – Other
Apache Hive Cookbook 2016,,62,eBooks – Technical
Apache Kafka Cookbook 2015,,53,eBooks – Technical
Apache Mesos Cookbook 2017,,53,eBooks – Technical
Apache Solr A Practical Approach to Enterprise Search 2015,,61,SEO
Apache Spark 2.x Cookbook 2017,,72,eBooks – Technical
Apache Spark 2.x for Java Developers 2017,,216,eBooks – Technical
Apache Spark Machine Learning Blueprints 2016,,125,eBooks – Technical
Apex Design Patterns 2016,,44,eBooks – Technical
Apocalypse The End of Antivirus 2015,,11,Other
Appcelerator Titanium Smartphone App Development Cookbook 2,,162,eBooks – Technical
Apple iPad Guide - Make Money with your iPad and Facebook,,111,Hacking – Website
Apple Pro Training Series Final Cut Pro X 10.3 2017,,53,Carding
Apple Pro Training Series Logic Pro X 10.3 2017,,53,Carding
Apple Pro Training Series OS X Server 5.0 Essentials 2016,,49,eBooks – Technical
APPLE Products for FREE | NO CARDING,,0,Fraud
Application Development with Swift 2015,,243,eBooks – Technical
Application Performance Management APM in Digital Enterprise,,97,Digital Forensics
Applied Network Security 2017,,31,Other
Applied Network Security Monitoring Collection Detection,,69,eBooks – Other
Applied Network Security Monitoring Collection Detection and Analysis 2014,,69,eBooks – Other
Applied Predictive Analytics Principles and Techniques,,62,eBooks – Technical
Apps Beginner's Guide for App Programming App Development,,521,eBooks – Technical
ArcPy and ArcGIS 2nd edition 2017,,305,eBooks – Technical
Arrest Proof Yourself,,18,Resources – Identity Documents
Arrest-Proof Yourself - 2nd Edition,,317,eBooks – Technical
Arrest-Proof Yourself An Ex-Cop Reveals 2nd edition 2013,,317,eBooks – Technical
"Arrest-Proof Yourself: An Ex-Cop Reveals How Easy It Is for Anyone to Get Arrested, How Even a Single Arrest Could Ruin Your Life, and What to Do If the Police Get in Your Face",,134,eBooks – Technical
"Artful Persuasion: How to Command Attention, Change Minds, a",,25,eBooks – Technical
Artificial Intelligence for .NET Speech Language Search 2017,,61,SEO
Ashampoo Anti-Virus 2016 - Darknet security,,40,Resources – Contact Lists
Ask Me Anything A Collection of Some of Reddit's Best AMAs,,69,eBooks – Other
Asking the Right Questions: A Guide to Critical Thinking,,20,Carding
Asos Refund Method,,117,Cashing Out
Asos Refund Scam,,327,Fraud
ASP.NET Core 1.1 MVC For Beginners 2017,,66,eBooks – Technical
ASP.NET Core Cloud ready Enterprise Web Application Dev,,138,eBooks – Technical
ASP.NET MVC 5 with Bootstrap and Knockout.js 2015,,73,eBooks – Technical
ASP.NET Programming Success in a Day Beginners Guide 2nd,,563,eBooks – Technical
Assembly Language Using the Raspberry Pi 2017,,69,eBooks – Technical
Assessing Vendors A Hands-On Guide to Assessing Infosec,,20,Carding
Assessing Vendors A Hands-On Guide to Assessing Infosec and IT Vendors 2013,,20,Transportation/Stealth
Asset Accounting Configuration in SAP ERP Step-by-Step Guide,,56,Drugs – Production
Astrology in Ancient Mesopotamia The Science of Omens,,47,eBooks – Other
Astronomy For Dummies,,28,eBooks – Other
Astronomy For Dummies 4th edition 2017,,198,eBooks – Technical
Atheism: The Case Against God !,,17,Doxing
ATHENA BOTNET 1.08 PANEL + BUILDER,,10,Other
"Atlantis, Alien Visitation and Genetic Manipulation",,0,Other
