subject,New Code,LLSum,AutoCat
Sex: The World's Favorite Pastime Fully Revealed,Other,119,Drugs – General
SEVEN NOOB METHODS CREDIT CARD >> BTC 2017,Cashing Out,510,Cashing Out
★TORSO'S★ Chinese Goods Carding Guide,Carding,1660,Carding
How to Make Meth [Fast Shipping],Drugs – Production,617,Drugs – Production
♕ Collection of Esoteric Ebooks ♕,eBooks – Other,215,eBooks – Other
"Anonymous - Everything about being Anonymous ( Safety Comes First ) Socks , VPN ,",Anonymity – VPN,332,Anonymity – Other
VMware Software for Carding + KEY Original Price $299,Carding,1707,Carding
CASHOUT USA FULLZ TO BITCOIN SAME DAY,Cashing Out,758,Cashing Out
Improvised Munitions Black Book Vol 1,Weaponry & Explosives,68,Weaponry & Explosives
Amazon Refund Scam,Fraud,586,Fraud
Three Steps To Handle A Subpoena & Protect Your Privacy,Anonymity – Other,183,Anonymity – Other
How To Get Netflix Premium For Free,Hacking – Website,260,Anonymity – VPN
VMware Software for Carding + KEY Original Price $299,Carding,1707,Carding
How to use PGP better ( newbie guide ),PGP/GPG,288,PGP/GPG
Getting Started With Raspberry Pi 3rd edition 2016,eBooks – Other,240,eBooks – Technical
★ [How To Login Successfully 99% To Hacked Paypal Acc]★,Carding,729,Cashing Out
"Dating scam more than $1,000",Fraud,441,Fraud
MAKE BIG MONEY WITH BANK LOGINS,Carding,301,Drugs – Production
7 Reasons Your Credit Card Gets Blocked.,Carding,244,Carding
How To Order From Cracked Amazon Accounts,Fraud,204,Drugs – Production
★ 2017 SQUAREUP PRIVATE CASHOUT GUIDE WITH FREE CC★,Cashing Out,593,Cashing Out
iOS 10 A Take Control Crash Course 2016,eBooks – Technical,57,Hacking – General
How To Card Nike,Carding,204,Drugs – Production
How to Smoke Pot Properly A Highbrow Guide to Getting High,Drugs – General,257,Drugs – Production
Developer Testing Building Quality into Software 2016,eBooks – Technical,11,Other
CC to cash very easily,Cashing Out,556,Cashing Out
How To Make DMT,Drugs – Production,547,Drugs – Production
How To Make Drugs (Tutorials Pack),Drugs – Production,497,Drugs – Production
Carding 20k to BTC for $100,Carding,1633,Carding
"Ultimate Uber Package (Get UNLIMITED Free Rides + Make $3,000+ a Month as Fake Uber Driver)",Hacking – Mobile,285,Drugs – Production
VIDEO How To CARD SAMSUNG S8/iPhone 7 [06/06/2017],Carding,204,Drugs – Production
CSS Floating 2016,eBooks – Technical,50,eBooks – Technical
"THE CARDING BUSINESS, UNDERSTAND HOW IT WORKS",Carding,1670,Carding
Hacking Wireless Networks For Dummies.,Hacking – Wireless Networks,287,Hacking – General
absorption_of_nitrous_gases,eBooks – Other,0,Other
TRANSFER FROM HACKED PAYPAL ACCOUNTS 2017,Cashing Out,744,Cashing Out
Guide To Postal Smuggling,Transportation/Stealth,271,Transportation/Stealth
HOW TO TRANSFER FROM PAYPAL CREDIT ACCOUNTS,Cashing Out,819,Cashing Out
CRACKING WIFI,Hacking – Wireless Networks,222,Hacking – Wireless Networks
★ BANK DROPS GUIDE ★,Other,63,Other
"BIGGEST FRAUD PACKAGE ON DEEPWEBCarding,Cashout,Paypal,CC...",Fraud,1365,Cashing Out
"Links to websites that sell CC's, Paypal, Bank logins",Carding,915,Cashing Out
How To Buy Bitcoins With Your Credit Card.,Cashing Out,253,Cashing Out
♕ CANNABIS GUIDES PACK ♕,Drugs – General,65,Drugs – Production
A TO Z MOBILE CHECK FRAUD,Fraud,468,Fraud
★Paypal and CVV Cashout 2017 ★,Cashing Out,643,Cashing Out
CASHOUT OF BANK ACCOUNT GUIDE,Cashing Out,602,Cashing Out
★[CC/CVV Balance Checker+Live Or Dead]★,Carding,142,Carding
How To Be A Pro Carder + 2 VIDEOS,Carding,204,Drugs – Production
How to make alcohol,Drugs – Production,529,Drugs – Production
CARDING BANK TRANSFERS 100% working method,Carding,1745,Carding
Bitcoin Beginner's Guide,Cryptocurrency – General,467,Cryptocurrency – General
Simple method $50- $100 a day no investment.,Other,99,Carding
"Marijuana Chemistry: Genetics, Processing, Potency 2nd Edition",Drugs – General,163,Drugs – Production
R for Everyone Advanced Analytics and Graphics 2014,eBooks – Technical,88,eBooks – Technical
MAKE BIG MONEY WITH BANK LOGINS,Carding,301,Drugs – Production
"MAKE $10,000+ A WEEK CASHING OUT WESTERN UNION",Cashing Out,340,Cashing Out
♕ MAKE $ SCAMMING PAY-PER-CALL OFFERS ♕,Fraud,285,Drugs – Production
How To Make Cocaine,Drugs – Production,586,Drugs – Production
The Medical Cannabis Guidebook The Definitive Guide 2014,Drugs – General,332,Drugs – General
CARDING SCHOOL LISTHING/LEARN HOW TO CARD IPHONES,Carding,1754,Carding
Bitcoin Essentials 2016,Cryptocurrency – General,430,Cryptocurrency – General
How To Encode Track Info To Plastic,Other,257,Drugs – Production
HOW TO MAKE ALL DRUGS  + BONUS !,Drugs – Production,497,Drugs – Production
☆ The emperor wears no clothes ☆,Other,119,Drugs – General
Windows Malware Analysis Essentials 2015,Malware Authorship,71,Malware Authorship
Basic Tutorial For Carding From Ebay,Carding,1806,Carding
♕ CARDING MEGAPACK ♕,Carding,1606,Carding
▶THE CARDER'S HOLY GRAIL -Antidetect 6.5 -Fraud Browser -Socks5/Proxy+VPN -List of Bins -Worth $550!,Carding,141,Carding
♕ BITCOINS MONEY PACK | 16 GUIDES ♕,Cryptocurrency – General,165,Cryptocurrency – General
★[CC/CVV Balance Checker+Live Or Dead]★,Carding,142,Carding
Lucifer Rising British Intelligence and the Occult 2016,eBooks – Other,119,Drugs – General
React Components 2016,eBooks – Technical,35,eBooks – Technical
"7 DROP Methods To Receive CARDED items(Phones,Clothes, etc.)",Carding,74,Carding
CARDING : MEGA-PACK OF TUTORIALS - I,Carding,1642,Carding
Bitcoin For Dummies 2016,Cryptocurrency – General,430,Cryptocurrency – General
How To Make LSD [WITH PHOTOS],Drugs – Production,659,Drugs – Production
Getting High: Marijuana through the Ages,Drugs – General,188,Drugs – General
★ MoneyMachine | EARN $200 A DAY ★,Other,92,Other
Digital Photography For Dummies 8th edition 2016,eBooks – Other,118,eBooks – Technical
HACKING SUPER PACK OF BOOKS,Hacking – General,293,Hacking – General
"★ SOCIALBOMBER ★ EARN FOLLOWERS, LIKES & SUBSCRIBERS ★",Other,83,Other
♕ Anarchist's Coockbook (Updated) ♕,Weaponry & Explosives,155,Weaponry & Explosives
Converting your CVV into a fullz,Carding,114,Cashing Out
How To Make DMT,Drugs – Production,547,Drugs – Production
A Guidebook To The Psilocybin Mushrooms Of Mexico,Drugs – General,342,Drugs – General
Drugs The Straight Facts - Inhalants,Drugs – General,1153,Drugs – General
♕ DELL Carding Method ♕,Carding,1759,Carding
PayPal Cashout + PayPal to BTC V.2  + [8 videos],Cashing Out,1934,Cashing Out
Ayahuasca Cookbook Almost Free,Drugs – Production,58,Weaponry & Explosives
The Carding Encyclopedia 229 Pages! CARDING WORLD,Carding,3276,Carding
The Clash of Civilizations and the Remaking of World Order 1,Drugs – Production,238,Drugs – General
How To Make A Phishing Website,Fraud,489,Drugs – Production
WesternUnion Carding Method 2017 NOOB FRIENDLY,Carding,1711,Carding
Guide Ewhoring,eWhoring,99,eWhoring
Tor and the Dark Art of Anonimity ★★★,Anonymity – Tor,654,Anonymity – Tor
Windows Registry Forensics 2nd edition 2016,Digital Forensics,347,Digital Forensics
BTC PAYPAL GUIDE v2.0 [Best Ever]!!!,Cashing Out,1066,Cashing Out
Virtual Billions The Genius behind the Rise of Bitcoin 2016,Cryptocurrency – General,504,Cryptocurrency – General
6.15.17 Mobile Carding + 2017's #1 CC|PP|Fraud,Carding,1618,Carding
❻❻ CARDING GUIDES ULTRA BEST 2016/2017 + FREE GIFT ✉,Carding,1682,Carding
How To Tap The Incredible Secret Powers Of Your Mind,eBooks – Other,216,Cashing Out
Pick-10-Book List: PHP Programming and Web Application Frameworks,eBooks – Technical,680,eBooks – Technical
How To Make Money With Youtube,Other,505,Drugs – Production
!! -- THE ULTIMATE PRIVACY GUIDE -- !!,Anonymity – Other,126,Anonymity – Other
PAYPAL - THE COMPLETE GUIDE TO RECEIVE AND CASHOUT!,Cashing Out,1170,Cashing Out
CARDING - NEW CASHOUT METHOD CC OR PP TO BTC,Carding,1724,Carding
? TORSO'S X-MAS PACKAGE ?,Other,78,Fraud
How to Make an Advanced Molotov Cocktail,Weaponry & Explosives,489,Drugs – Production
The Carder's University Pack,Carding,269,Carding
How to Win Every Argument: The Use and Abuse of Logic,eBooks – Other,222,Cashing Out
"INSTORE CARDING, GUIDE-HELP",Carding,1626,Carding
EARN 1000's TRADING CRYPTOS/FOREX (★100% LEGAL★),Cryptocurrency – Trading,266,Cryptocurrency – Trading
How To Encode Track Info To Plastic,Other,257,Drugs – Production
FRAUD SUPER PACK OF BOOKS,Fraud,437,Fraud
CSS3 for Web Designers 2nd edition 2014,eBooks – Technical,232,eBooks – Technical
How to make your own Ä50 notes,Counterfeit Currency,489,Drugs – Production
Mastering Bitcoin 2nd edition 2017,Cryptocurrency – General,495,Cryptocurrency – General
AMAZON REFUND SCAM GET iPHONE OR SAMSUNG S8 FREE 2017,Fraud,780,Fraud
MAKE BIG MONEY WITH BANK LOGINS,Carding,301,Drugs – Production
CARDING LESSONS VOL. II,Carding,1709,Carding
How To Become A Fake Uber Driver - Make $725+ Per Week,Fraud,489,Drugs – Production
CARDING BANK TRANSFERS 100% working method,Carding,1745,Carding
Firewalls Dont Stop Dragons A Step by Step Guide 2nd ed. 2016,eBooks – Technical,73,eBooks – Technical
Uncle Fester - Practical LSD Manufacture,Drugs – Production,126,Drugs – Production
[Guide] Big Safety Guide,eBooks – Other,78,Doxing
How to Make Meth [Fast Shipping],Drugs – Production,617,Drugs – Production
Carding - How to make Track1 from Track2 + ICQ Secret Group,Carding,1719,Carding
CC to Btc Method (Digital Game Currencies) September 2017,Cashing Out,907,Cashing Out
♕ Unviersity of Carding | In Depth Carding Guide ♕,Carding,3239,Carding
★ Any countryHacked RDP cheapest on Market ★,Hacking – General,59,Hacking – General
How to be Anonymous Online 2016 with Tor Tails Bitcoin and Writeprints 2016,Anonymity – Tor,471,Anonymity – Tor
"#1 NOOB CARDING STARTER MEGAPACK $4,650 VALUE-NEXT 10 PAY $8",Carding,1621,Carding
Bitcoin Milionaire VOL. II ★MUST HAVE!!!★,Cryptocurrency – General,597,Cryptocurrency – General
eBay Carding Tutorial,Carding,1743,Carding
ANONYMOUS TEXT MOBILE COMMUNICATION,Anonymity – Other,196,Anonymity – Other
CARDING LESSONS,Carding,1687,Carding
CYBERCRIME UK VIRTUAL CARDING V.3,Carding,1787,Carding
Fake Notes and Fake Currency PSD Templates for $50,Counterfeit Currency,289,Counterfeit Currency
[v.1]★[CC/CVV Carding For Beginners] [n00b Friendly],Carding,1677,Carding
"BANNED eBooks: Meth Secrets, Grow Weed, Mushrooms & MORE",Drugs – Production,466,Drugs – Production
Marijuana Grow Basics: The Easy Guide for Cannabis Aficionad,Drugs – Production,322,Drugs – Production
"Pack of tuto Carding, paypal , stripe, cc",Carding,1652,Carding
Requirements Writing for System Engineering 2016,eBooks – Technical,52,Hacking – Website
Guide To Postal Smuggling,Transportation/Stealth,271,Transportation/Stealth
Carding University ! Direct Teaching in Jabber 5 Days !,Carding,1707,Carding
Double Your Bitcoin (THE LATEST ONE OF 2017),Cryptocurrency – General,505,Cryptocurrency – General
♕ Anarchist's Coockbook (Updated) ♕,Weaponry & Explosives,155,Weaponry & Explosives
Marijuana Growing E-books Collection (33 books)E-books,Drugs – Production,213,Drugs – Production
Alpha02_ University Of Carding Guide.,Carding,1698,Carding
HOW TO MAKE AN ATM SKIMMER,Carding,489,Drugs – Production
100% anonymous,Anonymity – Other,211,Anonymity – Other
50 Great Ideas Instagram for Business 2017,eBooks – Technical,60,Fraud
ʙɪᴛᴄᴏɪɴ ᴍɪʟɪᴏɴᴀɪʀᴇ ᴠᴏʟ.ɪ,Cryptocurrency – General,141,Cryptocurrency – General
3 methodes to cashout cvv to btc (UPDATED),Cashing Out,1181,Cashing Out
★???? ??? ??????★,Other,0,Other
Cardable CASINO Sites 2017,Carding,324,Carding
Amphetamine Synthesis-Sources-Easy(with pics)with SOURCES,Drugs – Production,201,Drugs – Production
NOOB TO EXPERT DOXING REVENGE GUIDE 2017,Doxing,567,Doxing
Bitcoin Laundering (Tutorial),Cashing Out,430,Cryptocurrency – General
FRENCH TUTO : FRAUDE CASHOUT TOUS SYSTEMES DE PAIEMENT,Cashing Out,603,Cashing Out
100 Deadly Skills: The SEAL Operative’s Guide to Eluding P,eBooks – Other,249,eBooks – Other
$$$SOCKS-change your IP to help you cash out cvv from any country$$$,Anonymity – Proxies,496,Cashing Out
VyprVPN Premium Account | lifetime,Anonymity – VPN,754,Anonymity – VPN
Hacking: The Ultimate Guide,Hacking – General,302,Hacking – General
Mega Pack Of Sex Ebooks,eBooks – Other,133,eBooks – Other
Persuasion Equation The Subtle Science of Getting Your Way 2015,eBooks – Other,160,eBooks – Other
HOW TO CLEAR YOUR CRIMINAL RECORDS ▄▀▄▀▄▀▄▀▄▀▄▀▄▀▄▀▄▀▄▀▄▀▄▀▄▀▄▀,Clearing Criminal History,204,Drugs – Production
VIDEO How To Apply Socks5 The Right Way For 100% Success,Anonymity – Proxies,485,Anonymity – Proxies
FBI HACKING AND FORENSIC TOOLKIT HACK INTO PHONE,Digital Forensics,362,Hacking – General
Coding for Beginners in easy steps,eBooks – Technical,76,eBooks – Technical
★ PHISHING FULL PACK   ★ 2016  ★,Fraud,174,Fraud
How To Make Flame Thrower,Weaponry & Explosives,489,Drugs – Production
DoubleBTC in ONE DAY BitcoinThief,Cryptocurrency – General,89,Cryptocurrency – General
HOW TO CARDING WITHOUT GETTING CAUGHT.,Carding,1606,Carding
7839+ Awesome Deep Web Onion Links List (Uncensored Content),Resources – Contact Lists,249,Resources – Contact Lists
How To Talk So People Listen: The Real Key to Job Success,eBooks – Other,257,Drugs – Production
wells fargo cashout guide to bitcoin,Cashing Out,800,Cashing Out
Never Be Lied To Again,Other,64,Cashing Out
Tor - How to be Anonymous Online 2016: Step-by-Step,Anonymity – Tor,414,Anonymity – Tor
★ HOW TO MAKE DMT ★,Drugs – Production,547,Drugs – Production
Bank Zachodni WBK-Cashing out Btc through Prepaid VISA Cards,Cashing Out,782,Cashing Out
Authentic Australian Passport/License Scan of Same Person,Resources – Identity Documents,181,Resources – Identity Documents
? TORSO'S X-MAS PACKAGE ?,Other,78,Fraud
Simple method $50- $150 a day no investesment,Other,99,Carding
[TUTO FR] EXCLU méthode perso Paypal to BTC,Cashing Out,1021,Cashing Out
"12,000+ Kindle Book Pack",eBooks – Other,58,eBooks – Other
Anonymization,Anonymity – Other,20,Anonymity – Other
★ 18 Extensions For Turning Firefox Into a Penetration Tes,Hacking – General,44,Hacking – General
★ AK-47 Kalashnikov: GUIDES MEGAPACK ★,Other,107,Weaponry & Explosives
♕ GOOGLE PLAY CARDING METHODS ♕,Carding,1628,Carding
100 Deadly Skills The SEAL Operative's Guide 2015,eBooks – Other,243,eBooks – Other
"NEW PRIVATE CC TO BTC GUIDE (AMAZON, ITUNES, EBAY)",Cashing Out,905,Cashing Out
CIA/NSA/FBI FORENSICS EXPERT TOOL - MAGNETIC IEF,Digital Forensics,434,Digital Forensics
How to Card Best buy,Carding,204,Drugs – Production
★ ★ ★ Hack Your School Grading System ★ ★ ★,Hacking – General,167,Hacking – Website
CASHOUT OF BANK ACCOUNT GUIDE,Cashing Out,602,Cashing Out
PGP Tutorial For Newbs (Gpg4Win),PGP/GPG,379,PGP/GPG
InStore Carding Tutorial,Carding,1731,Carding
"BUY ETHEREUM WITH CC OR PAYPAY - MAKE EASY $5,000.00+ DAILY",Cashing Out,479,Cashing Out
"DUMPS CARDING Business, MEGA PACK 15 GUIDES",Carding,1673,Carding
MAC ADRESS CHANGER SOFTWARE FOR WINDOWS + TUTO,Anonymity – Proxies,56,Anonymity – Proxies
The Ultimate Cash-Out,Cashing Out,119,Drugs – General
[TUTO FR] => Cashout de CC vers un compte IBAN,Cashing Out,1099,Cashing Out
The Cannabis Grow Bible E-book,Drugs – Production,226,Drugs – Production
CARDING LESSONS VOL. II,Carding,1709,Carding
The Age of Cryptocurrency How Bitcoin and Digital Money,Cryptocurrency – General,556,Cryptocurrency – General
★AMAZON REFUND SCAM!!!!!★,Fraud,519,Fraud
How To Make DMT,Drugs – Production,547,Drugs – Production
★[CC/CVV Balance Checker+Live Or Dead]★,Carding,142,Carding
25 way cash out bitcoin from CCs,Cashing Out,430,Cryptocurrency – General
Bitcoin Cashout Guide,Cashing Out,624,Cashing Out
HOW TO MAKE HOMEMADE GHB (COMMONS CHEMICALS),Drugs – Production,544,Drugs – Production
Raspberry Pi 3 Programming For Beginners 2017,eBooks – Technical,346,eBooks – Technical
"Eagleton, Terry (Why Marx was Right)",eBooks – Other,64,Anonymity – Proxies
"THE FRAUD BIBLE  40.000 ITEMS INCLUDED!  99% OF ALL guides sold in the market: Carding,Cashout,Paypal,CC,Hacks,Etc",Carding,1804,Carding
Pick-a-Book List: PENETRATION TESTING (Pentesting) & METASPLOIT,Hacking – General,328,eBooks – Technical
Machine Learning in Java 2016,eBooks – Technical,148,eBooks – Technical
CYBERCRIME UK VIRTUAL CARDING V.3,Carding,1787,Carding
✪✪✪ ULTIMATE CC TO BTC GUIDE✪✪✪,Carding,852,Cashing Out
Tor and The Dark Net 2016,Anonymity – Tor,560,Anonymity – Tor
★★★ CASHING OUT CC'S with SHOPIFY ★★★,Cashing Out,742,Cashing Out
EASY HOW TO MAKE MDMA AT HOME GUIDE WITH PICS,Drugs – Production,698,Drugs – Production
100 Ways To Disappear And Live Free,Anonymity – Other,186,Anonymity – Other
Pick-a-Book List: APPLE iMAC iPAD iPHONE iPOD MACBOOK WATCH,eBooks – Technical,367,eBooks – Technical
TESCO Carding Method | Groceries/Alcohol/Tobacco/Lottery,Carding,1711,Carding
MINE MONERO (XMR) USING INFECTED COMPUTERS,Cryptocurrency – General,257,Cryptocurrency – General
Propellants and Explosives,Weaponry & Explosives,144,Weaponry & Explosives
How To Make Drugs (Tutorials Pack),Drugs – Production,497,Drugs – Production
★How to cashout all CCs to BTC ★ ebook,Cashing Out,1097,Cashing Out
★ HOW TO MAKE MDMA ★,Drugs – Production,599,Drugs – Production
GUIDE: CC to BTC Shortest Method (100% suucess rate),Carding,902,Cashing Out
Magic Mushroom Grower's Guide,Drugs – Production,45,Drugs – General
HOW TO: MMORPG Carding,Carding,1633,Carding
How to CARDING E-GIFT CARDS,Carding,1643,Carding
Advanced Persistent Threat Hacking The Art 2015,Hacking – General,521,Hacking – General
MAKE 10.000 A DAY !!!★$$$★ALTCOIN TRADING,Cryptocurrency – Trading,303,Cryptocurrency – Trading
✪✪✪Flights Guide (2017) Carder Academy *HQ*✪✪✪,Carding,170,Carding
