Category,Rand,ID,Market Name,Price,Product Name,Seller Name,New Code
E-books,12313,108843,TradeRoute,2.99,Sex: The World's Favorite Pastime Fully Revealed,Junkiepig66630498,Other
Information,15204,127358,TradeRoute,20,SEVEN NOOB METHODS CREDIT CARD >> BTC 2017,TheWealthMaker27997,Cashing Out
Guides & Tutorials,4678,103985,TradeRoute,2.67,★TORSO'S★ Chinese Goods Carding Guide,Torso212398,Carding
Guides & Tutorials,16156,160188,TradeRoute,4.99,How to Make Meth [Fast Shipping],MicroDroper40100,Drugs – Production
Information,15659,103287,TradeRoute,1.99,♕ Collection of Esoteric Ebooks ♕,TheShop131697,eBooks – Other
Security,11866,288815,Hansa,0.99,"Anonymous - Everything about being Anonymous ( Safety Comes First ) Socks , VPN ,",BizNiz,Anonymity – VPN
Information,10065,145933,TradeRoute,5,VMware Software for Carding + KEY Original Price $299,MoneyMule217198,Carding
Guides & Tutorials,11324,125191,TradeRoute,11,CASHOUT USA FULLZ TO BITCOIN SAME DAY,Torso215998,Cashing Out
E-books,18635,118053,TradeRoute,0.99,Improvised Munitions Black Book Vol 1,captainkirk0--,Weaponry & Explosives
Guides & Tutorials,1836,98176,TradeRoute,2,Amazon Refund Scam,Kaptein66294,Fraud
Security,1052,133603,TradeRoute,7,Three Steps To Handle A Subpoena & Protect Your Privacy,Aracay152100,Anonymity – Other
Guides & Tutorials,4677,151805,TradeRoute,0.99,How To Get Netflix Premium For Free,drunkninja168797,Hacking – Website
Security,9445,122688,TradeRoute,5,VMware Software for Carding + KEY Original Price $299,MoneyMule217198,Carding
Security,15633,97685,TradeRoute,5,How to use PGP better ( newbie guide ),Dr.Whit389997,PGP/GPG
Digital EBooks,5487,282633,Apple Market,2.99,Getting Started With Raspberry Pi 3rd edition 2016,pckabml,eBooks – Other
Guides & Tutorials,15603,114323,TradeRoute,5.49,★ [How To Login Successfully 99% To Hacked Paypal Acc]★,BlackGohan3699,Carding
Guides & Tutorials,16124,150246,TradeRoute,3,"Dating scam more than $1,000",fence16693,Fraud
Information,9274,145477,TradeRoute,5,MAKE BIG MONEY WITH BANK LOGINS,Torso216098,Carding
Guides & Tutorials,13436,110852,TradeRoute,0.5,7 Reasons Your Credit Card Gets Blocked.,blackdawg3999,Carding
Guides & Tutorials,17507,149579,TradeRoute,0.99,How To Order From Cracked Amazon Accounts,drunkninja168797,Fraud
Guides & Tutorials,10699,137232,TradeRoute,14.99,★ 2017 SQUAREUP PRIVATE CASHOUT GUIDE WITH FREE CC★,FraudBanner109036898,Cashing Out
Digital EBooks,13389,282661,Apple Market,2.99,iOS 10 A Take Control Crash Course 2016,pckabml,eBooks – Technical
Guides & Tutorials,14696,134373,TradeRoute,0.99,How To Card Nike,drunkninja170897,Carding
Guides & Tutorials,5267,157009,TradeRoute,2.99,How to Smoke Pot Properly A Highbrow Guide to Getting High,pckabml143100,Drugs – General
Digital EBooks,8595,282614,Apple Market,2.99,Developer Testing Building Quality into Software 2016,pckabml,eBooks – Technical
Guides & Tutorials,14724,116035,TradeRoute,0.5,CC to cash very easily,blackdawg3699,Cashing Out
Guides & Tutorials,6814,161921,TradeRoute,0.99,How To Make DMT,drunkninja171497,Drugs – Production
Guides & Tutorials,8426,108926,TradeRoute,0.99,How To Make Drugs (Tutorials Pack),PinkQueen142897,Drugs – Production
Information,1253,143066,TradeRoute,2.23,Carding 20k to BTC for $100,Torso216298,Carding
E-Books,15435,288308,Hansa,25,"Ultimate Uber Package (Get UNLIMITED Free Rides + Make $3,000+ a Month as Fake Uber Driver)",DigitalDealer,Hacking – Mobile
E-books,16604,134852,TradeRoute,8,VIDEO How To CARD SAMSUNG S8/iPhone 7 [06/06/2017],MoneyMule217898,Carding
E-books,70,119547,TradeRoute,2.99,CSS Floating 2016,pckabml143100,eBooks – Technical
Guides & Tutorials,15712,125581,TradeRoute,1.5,"THE CARDING BUSINESS, UNDERSTAND HOW IT WORKS",l33ter127898,Carding
Guides & Tutorials,12982,153830,TradeRoute,0.5,Hacking Wireless Networks For Dummies.,blackdawg40100,Hacking – Wireless Networks
E-Books,18925,296551,Hansa,0.99,absorption_of_nitrous_gases,color,eBooks – Other
Guides & Tutorials,19059,117911,TradeRoute,5,TRANSFER FROM HACKED PAYPAL ACCOUNTS 2017,steemdude74998,Cashing Out
Guides & Tutorials,3066,123806,TradeRoute,0.99,Guide To Postal Smuggling,drunkninja170697,Transportation/Stealth
Guides & Tutorials,13288,144453,TradeRoute,5,HOW TO TRANSFER FROM PAYPAL CREDIT ACCOUNTS,TopNotchMoneyMaker68697,Cashing Out
Guides & Tutorials,16860,130408,TradeRoute,0.6,CRACKING WIFI,l33ter129398,Hacking – Wireless Networks
Information,5772,141401,TradeRoute,5,★ BANK DROPS GUIDE ★,Torso216398,Other
Guides & Tutorials,17463,130326,TradeRoute,4.99,"BIGGEST FRAUD PACKAGE ON DEEPWEBCarding,Cashout,Paypal,CC...",ccman19299,Fraud
Guides & Tutorials,8831,101867,TradeRoute,2,"Links to websites that sell CC's, Paypal, Bank logins",Kaptein66794,Carding
Guides & Tutorials,11913,155522,TradeRoute,0.99,How To Buy Bitcoins With Your Credit Card.,nbholmz10096,Cashing Out
Information,17491,129140,TradeRoute,1.99,♕ CANNABIS GUIDES PACK ♕,TheShop132297,Drugs – General
Security,10498,130372,TradeRoute,5,A TO Z MOBILE CHECK FRAUD,Torso214098,Fraud
Information,7881,107945,TradeRoute,4.99,★Paypal and CVV Cashout 2017 ★,geekgorilla8100,Cashing Out
Guides & Tutorials,4580,124634,TradeRoute,5,CASHOUT OF BANK ACCOUNT GUIDE,hocker1191,Cashing Out
Guides & Tutorials,16304,149442,TradeRoute,5,★[CC/CVV Balance Checker+Live Or Dead]★,MoneyMule217498,Carding
Security,17717,102109,TradeRoute,5,How To Be A Pro Carder + 2 VIDEOS,CrdinProfito13695,Carding
Guides & Tutorials,14098,103006,TradeRoute,0.89,How to make alcohol,nbholmz10096,Drugs – Production
Guides & Tutorials,12560,130412,TradeRoute,6,CARDING BANK TRANSFERS 100% working method,tickler8100,Carding
E-books,2169,118953,TradeRoute,1,Bitcoin Beginner's Guide,TheDigital13499,Cryptocurrency – General
Guides & Tutorials,11594,133882,TradeRoute,0.99,Simple method $50- $100 a day no investment.,stevejobs66630999,Other
Digital EBooks,973,282829,Apple Market,1,"Marijuana Chemistry: Genetics, Processing, Potency 2nd Edition",captainkirk,Drugs – General
Digital EBooks,15019,282729,Apple Market,2.99,R for Everyone Advanced Analytics and Graphics 2014,pckabml,eBooks – Technical
E-books,3612,148435,TradeRoute,5,MAKE BIG MONEY WITH BANK LOGINS,Torso216098,Carding
E-books,19451,126654,TradeRoute,4,"MAKE $10,000+ A WEEK CASHING OUT WESTERN UNION",TopNotchMoneyMaker68097,Cashing Out
Information,985,150208,TradeRoute,1.99,♕ MAKE $ SCAMMING PAY-PER-CALL OFFERS ♕,TheShop129697,Fraud
Guides & Tutorials,2180,147389,TradeRoute,1,How To Make Cocaine,PrawnCracker32799,Drugs – Production
E-books,3040,153610,TradeRoute,3.99,The Medical Cannabis Guidebook The Definitive Guide 2014,pckabml143100,Drugs – General
Guides & Tutorials,18908,102365,TradeRoute,120,CARDING SCHOOL LISTHING/LEARN HOW TO CARD IPHONES,Evola10095,Carding
E-books,13295,99735,TradeRoute,2.99,Bitcoin Essentials 2016,pckabml143100,Cryptocurrency – General
Guides & Tutorials,16892,128830,TradeRoute,0.99,How To Encode Track Info To Plastic,drunkninja170597,Other
Others Guides,2163,282579,Apple Market,3.24,HOW TO MAKE ALL DRUGS  + BONUS !,TheCousteauMotorcyclist,Drugs – Production
E-books,15884,93057,TradeRoute,3.58,☆ The emperor wears no clothes ☆,mindTraveller12100,Other
Security,13250,296690,Hansa,2.99,Windows Malware Analysis Essentials 2015,pckabml,Malware Authorship
Guides & Tutorials,13180,138648,TradeRoute,2,Basic Tutorial For Carding From Ebay,Kaptein66494,Carding
Information,1286,133382,TradeRoute,2.99,♕ CARDING MEGAPACK ♕,TheShop130597,Carding
Security,2955,295557,Hansa,5.99,▶THE CARDER'S HOLY GRAIL -Antidetect 6.5 -Fraud Browser -Socks5/Proxy+VPN -List of Bins -Worth $550!,SoftKingUS,Carding
E-books,460,157542,TradeRoute,1.99,♕ BITCOINS MONEY PACK | 16 GUIDES ♕,TheShop132197,Cryptocurrency – General
Guides & Tutorials,13508,113729,TradeRoute,5,★[CC/CVV Balance Checker+Live Or Dead]★,MoneyMule217498,Carding
Digital EBooks,14011,282672,Apple Market,2.99,Lucifer Rising British Intelligence and the Occult 2016,pckabml,eBooks – Other
E-books,15204,127782,TradeRoute,3.99,React Components 2016,pckabml135100,eBooks – Technical
Information,18574,93316,TradeRoute,5,"7 DROP Methods To Receive CARDED items(Phones,Clothes, etc.)",steemdude72898,Carding
Guides & Tutorials,16207,114850,TradeRoute,2,CARDING : MEGA-PACK OF TUTORIALS - I,l33ter129498,Carding
E-books,14382,124530,TradeRoute,2.99,Bitcoin For Dummies 2016,pckabml143100,Cryptocurrency – General
Guides & Tutorials,16330,98900,TradeRoute,4.99,How To Make LSD [WITH PHOTOS],MicroDroper49100,Drugs – Production
Digital EBooks,19665,282817,Apple Market,1,Getting High: Marijuana through the Ages,captainkirk,Drugs – General
Information,8773,107798,TradeRoute,1.99,★ MoneyMachine | EARN $200 A DAY ★,TheShop131997,Other
Digital EBooks,3668,282618,Apple Market,2.99,Digital Photography For Dummies 8th edition 2016,pckabml,eBooks – Other
E-Books,3257,288348,Hansa,10,HACKING SUPER PACK OF BOOKS,DigitalDealer,Hacking – General
Guides & Tutorials,6264,94476,TradeRoute,2.49,"★ SOCIALBOMBER ★ EARN FOLLOWERS, LIKES & SUBSCRIBERS ★",TheShop132297,Other
E-books,16831,133738,TradeRoute,0.99,♕ Anarchist's Coockbook (Updated) ♕,TheShop132197,Weaponry & Explosives
Guides & Tutorials,3047,121340,TradeRoute,2,Converting your CVV into a fullz,l33ter129198,Carding
Guides & Tutorials,18443,126209,TradeRoute,0.99,How To Make DMT,drunkninja171497,Drugs – Production
E-books,12852,162696,TradeRoute,0.99,A Guidebook To The Psilocybin Mushrooms Of Mexico,captainkirk0--,Drugs – General
Guides & Tutorials,17096,98786,TradeRoute,2.99,Drugs The Straight Facts - Inhalants,Junkiepig66630498,Drugs – General
Information,3400,151851,TradeRoute,1.99,♕ DELL Carding Method ♕,TheShop132197,Carding
Security,19014,132540,TradeRoute,10,PayPal Cashout + PayPal to BTC V.2  + [8 videos],Torso212398,Cashing Out
E-Books,7788,297547,Hansa,0.99,Ayahuasca Cookbook Almost Free,OnePiece,Drugs – Production
Guides & Tutorials,891,109284,TradeRoute,3.5,The Carding Encyclopedia 229 Pages! CARDING WORLD,l33ter128598,Carding
E-books,1084,150114,TradeRoute,2.99,The Clash of Civilizations and the Remaking of World Order 1,pckabml143100,Drugs – Production
Guides & Tutorials,6000,121267,TradeRoute,0.99,How To Make A Phishing Website,PinkQueen140897,Fraud
Guides & Tutorials,12028,146018,TradeRoute,4,WesternUnion Carding Method 2017 NOOB FRIENDLY,FF01237694,Carding
Guides & Tutorials,2949,141178,TradeRoute,1,Guide Ewhoring,Donnie_Azoff14100,eWhoring
Security,8698,137955,TradeRoute,0.11,Tor and the Dark Art of Anonimity ★★★,Torso216098,Anonymity – Tor
Security,4204,289494,Hansa,2.99,Windows Registry Forensics 2nd edition 2016,pckabml,Digital Forensics
Guides & Tutorials,1340,161188,TradeRoute,10,BTC PAYPAL GUIDE v2.0 [Best Ever]!!!,Torso216098,Cashing Out
E-books,3526,139916,TradeRoute,2.99,Virtual Billions The Genius behind the Rise of Bitcoin 2016,pckabml143100,Cryptocurrency – General
Guides & Tutorials,12424,150547,TradeRoute,7,6.15.17 Mobile Carding + 2017's #1 CC|PP|Fraud,hocker1191,Carding
Information,12971,92332,TradeRoute,1.06,❻❻ CARDING GUIDES ULTRA BEST 2016/2017 + FREE GIFT ✉,Torso216098,Carding
E-books,14906,147525,TradeRoute,0.99,How To Tap The Incredible Secret Powers Of Your Mind,captainkirk0--,eBooks – Other
E-Books,17407,297584,Hansa,24,Pick-10-Book List: PHP Programming and Web Application Frameworks,pckabml,eBooks – Technical
Guides & Tutorials,6926,98526,TradeRoute,0.99,How To Make Money With Youtube,drunkninja168797,Other
Security,13260,296394,Hansa,33.08,!! -- THE ULTIMATE PRIVACY GUIDE -- !!,btcthief,Anonymity – Other
E-Books,299,296549,Hansa,4.99,PAYPAL - THE COMPLETE GUIDE TO RECEIVE AND CASHOUT!,Junkiepig666,Cashing Out
Guides & Tutorials,6151,162836,TradeRoute,4.99,CARDING - NEW CASHOUT METHOD CC OR PP TO BTC,Junkiepig66630498,Carding
Guides & Tutorials,2358,101693,TradeRoute,19,? TORSO'S X-MAS PACKAGE ?,Torso216098,Other
Guides & Tutorials,5449,93791,TradeRoute,10,How to Make an Advanced Molotov Cocktail,Aracay152100,Weaponry & Explosives
E-Books,6029,288321,Hansa,100,The Carder's University Pack,DigitalDealer,Carding
E-books,8415,152319,TradeRoute,0.99,How to Win Every Argument: The Use and Abuse of Logic,captainkirk0--,eBooks – Other
Guides & Tutorials,14563,145776,TradeRoute,0.5,"INSTORE CARDING, GUIDE-HELP",l33ter129198,Carding
Guides & Tutorials,7436,137258,TradeRoute,9.99,EARN 1000's TRADING CRYPTOS/FOREX (★100% LEGAL★),nbholmz10096,Cryptocurrency – Trading
Guides & Tutorials,17825,93117,TradeRoute,0.99,How To Encode Track Info To Plastic,drunkninja170597,Other
E-Books,18135,288346,Hansa,10,FRAUD SUPER PACK OF BOOKS,DigitalDealer,Fraud
Digital EBooks,7254,282607,Apple Market,2.99,CSS3 for Web Designers 2nd edition 2014,pckabml,eBooks – Technical
Guides & Tutorials,5391,97127,TradeRoute,6,How to make your own Ä50 notes,tickler7100,Counterfeit Currency
E-books,16204,143197,TradeRoute,3.99,Mastering Bitcoin 2nd edition 2017,pckabml143100,Cryptocurrency – General
Guides & Tutorials,10234,139656,TradeRoute,4,AMAZON REFUND SCAM GET iPHONE OR SAMSUNG S8 FREE 2017,MoneyMule217198,Fraud
