Category,ID,Market Name,Product Name,Seller Name,Code – Andy,Code – Joseph,Agreement
Security,153759,TradeRoute,MINE ZCASH USING OTHER PEOPLES COMPUTERS,TopNotchMoneyMaker69197,Cryptocurrency – General,Malware Authorship,,FALSE
E-Books,297649,Hansa,"Pick-a-Book List: DIGITAL FORENSICS, EXPLOITS, NETWORK DEFENSE, and SURVEILLANCE",pckabml,Digital Forensics,eBooks – Tech,,FALSE
E-books,107235,TradeRoute,Beyond Bitcoin The Economics of Digital Currencies 2016,pckabml143100,Cryptocurrency – General,Cryptocurrency – General,,TRUE
Guides & Tutorials,126771,TradeRoute,How To Card Google Play,drunkninja174497,Carding,Carding,,TRUE
Information,135351,TradeRoute,Ultimate Hacking Megapack 14gb,OnePiece36100,Hacking – General,Hacking – General,,TRUE
Information,107289,TradeRoute,How to hack IOS or Android ?,Hotmilk140997,Hacking – Mobile,Hacking – Mobile,,TRUE
Guides & Tutorials,93925,TradeRoute,Cardable Sites + Method 2017,Kaptein66494,Carding,Carding,,TRUE
Information,141087,TradeRoute,★ CC Cashout eBay/Amazon ★,TheShop132197,Cashing Out,Cashing Out,,TRUE
Security,145501,TradeRoute,ATTACK SMARTPHONE SECUIRTY WITH PENETRATION TESTING,TopNotchMoneyMaker68097,Hacking – Mobile,Hacking – Mobile,,TRUE
E-books,128993,TradeRoute,Secrets of Meth Manufacture 8th Edition,captainkirk0--,Drugs – Production,Drugs – Production,,TRUE
E-books,154665,TradeRoute,Bitcoin Beginner's Guide,TheDigital13499,Cryptocurrency – General,Cryptocurrency – General,,TRUE
Security,143339,TradeRoute,★★ FRESH CLEAN HQ SOCKS ★★ ANY COUNTRY !! ★★,Goldoratt471100,Anonymity – Proxies,Anonymity – Proxies,,TRUE
E-books,148635,TradeRoute,Vladimir Nabokov - Lolita,captainkirk0--,eBooks – Other,eBooks – Other,,TRUE
E-books,128143,TradeRoute,★[CC/CVV Balance Checker+Live Or Dead]★,MoneyMule217498,Carding,Carding,,TRUE
E-books,114972,TradeRoute,My TOP 15 Socks5 Providers + VIDEO Tutorial,steemdude71197,Anonymity – Proxies,Anonymity – Proxies,,TRUE
E-books,92737,TradeRoute,[PDF] You Are a Badass at Making Money [NEW],UnleashClearLoyalty82798,eBooks – Other,eBooks – Other,,TRUE
Guides & Tutorials,126350,TradeRoute,How To Spoof Your IP Address (ESSENTIAL FOR CARDING),PrawnCracker33099,Carding,Carding,,TRUE
Information,158660,TradeRoute,FULLZ PHISHING GUIDE,Torso216098,Fraud,Fraud,,TRUE
E-books,104483,TradeRoute,Concepts of Programming Languages 11th edition 2016,pckabml143100,eBooks – Tech,eBooks – Tech,,TRUE
Security,284826,Hansa,GUIDE FOR ANONYMOUS INTERNET USAGE,bank,Anonymity – Other,Anonymity – Other,,TRUE
E-Books,294404,Hansa,"Coleman, John (One World Dictatorship)",OnePiece,eBooks – Other,eBooks – Other,,TRUE
Guides & Tutorials,127274,TradeRoute,How To Stay Completely Anonymous,PinkQueen143197,Anonymity – Other,Anonymity – Other,,TRUE
E-books,124530,TradeRoute,Bitcoin For Dummies 2016,pckabml143100,Cryptocurrency – General,Cryptocurrency – General,,TRUE
Guides & Tutorials,112638,TradeRoute,AVOID THE RED FLAGS IN CARDING SHOPPING TIME.,l33ter129498,Carding,Carding,,TRUE
Information,145581,TradeRoute,❻❻ CARDING GUIDES ULTRA BEST 2016/2017 + FREE GIFT,Torso216098,Carding,Carding,,TRUE
Guides & Tutorials,138152,TradeRoute,Secrets of Methamphetamine Manufacturing,PrawnCracker33099,Drugs – Production,Drugs – Production,,TRUE
E-Books,295778,Hansa,Ebooks For Dummies Collection (370 ebooks),captainkirk,eBooks – Other,eBooks – Other,,TRUE
Guides & Tutorials,135490,TradeRoute,Link to Russian Hacking Mega-Software Site,TopNotchMoneyMaker68697,Hacking – General,Hacking – General,,TRUE
Guides & Tutorials,99731,TradeRoute,★COINBASE BTC TO CC CASHOUT GUIDE 2017 FREE LIVE CC★,FraudBanner109038798,Cashing Out,Cashing Out,,TRUE
Guides & Tutorials,108289,TradeRoute,★ HOW TO MAKE HEROIN ★,TheShop133597,Drugs – Production,Drugs – Production,,TRUE
E-Books,294590,Hansa,"Zizek, Slavoj (Living in the End of Times)",OnePiece,eBooks – Other,eBooks – Other,,TRUE
E-books,129277,TradeRoute,★ [2017] CC to BTC Cashout 2.0 RELOADED ★,TheShop132297,Cashing Out,Cashing Out,,TRUE
Guides & Tutorials,157279,TradeRoute,CC to Moneygram Cashout GUIDE,steemdude74198,Cashing Out,Cashing Out,,TRUE
Information,156437,TradeRoute,Paypal transfer + cashout money guide,Torso216098,Cashing Out,Cashing Out,,TRUE
E-Books,294441,Hansa,"Engels, Anti Duhring",OnePiece,eBooks – Other,eBooks – Other,,TRUE
Information,133373,TradeRoute,★ [2017] Hacked PayPal to Bitcoin ★,TheShop133597,Cashing Out,Cashing Out,,TRUE
E-books,100041,TradeRoute,★ The Men's Fitness Exercise Bible ★,TheShop131797,Other,eBooks – Other,,FALSE
E-books,94264,TradeRoute,Mastering Bitcoin: Unlocking Digital Cryptocurrencies,Junkiepig66630398,Cryptocurrency – General,Cryptocurrency – General,,TRUE
Guides & Tutorials,92026,TradeRoute,LOCALBITCOINS  SCAM EASY,thebestseller69099,Fraud,Fraud,,TRUE
Guides & Tutorials,114849,TradeRoute,★EZ Cash techniques★ EBOOK,JohnBronz32695,eBooks – Other,eBooks – Other,,TRUE
E-Books,294201,Hansa,Hacking - The Beginners Guide to Master The Art of Hacking In No Time.pdf,UncleBarney,Hacking – General,Hacking – General,,TRUE
Security,105324,TradeRoute,2x VPN Pack,best4u5192,Anonymity – VPN,Anonymity – VPN,,TRUE
Guides & Tutorials,139596,TradeRoute,★MASSIVE★ List of Cardable Sites 2017 | 100% Working,Null65397,Carding,Carding,,TRUE
Guides & Tutorials,131633,TradeRoute,Carding - Method to Cash $100 from CVV Online,Junkiepig66630498,Carding,Carding,,TRUE
Guides & Tutorials,92738,TradeRoute,✪ ATM Hack to get much more money than you withdraw,Null65097,Hacking – General,Hacking – General,,TRUE
Guides & Tutorials,140185,TradeRoute,How To Pass Counterfeit Money,drunkninja168797,Counterfeit Currency,Counterfeit Currency,,TRUE
Guides & Tutorials,159985,TradeRoute,Ultimate Carding Pack,PrawnCracker32799,Carding,Carding,,TRUE
Security,295747,Hansa,Double Your Bitcoins x180% in 2 month GUARANTEED! (Any Amount!) $5000 in 2 TWO MINUTES (20+ COPIES S,cocacola007,Cryptocurrency – Trading,Cryptocurrency – Trading,,TRUE
Guides & Tutorials,123453,TradeRoute,OzRort's School of Swindle - Hacking RDPs,OzRort108100,Hacking – General,Hacking – General,,TRUE
Guides & Tutorials,103354,TradeRoute,"1500 Cardable sites + UK, DE sites + BONUS GUIDES",steemdude74298,Carding,Carding,,TRUE
Guides & Tutorials,158202,TradeRoute,CARDING - HOW TO CHECK YOUR CCV BALANCE!,Junkiepig66630498,Carding,Carding,,TRUE
Guides & Tutorials,162702,TradeRoute,University Of Carding Guide,Kaptein65694,Carding,Carding,,TRUE
Information,125899,TradeRoute,ALL 50 STATES DRIVERS LICENSE TEMPLATES,TopNotchMoneyMaker68497,Fraud,Resources – Identity Documents,,FALSE
Security,155126,TradeRoute,2017 ADVANCED/BEGINNERS COMPLETE DARKNET FRAUD ENCYCLOPEDIA,TopNotchMoneyMaker68297,Fraud,Fraud,,TRUE
Guides & Tutorials,142536,TradeRoute,★ MULTIPLY YOUR BITCOINS 8X V1 ★  - HALF PRICE !!!,worldbest0--,Cryptocurrency – General,Cryptocurrency – General,,TRUE
Information,110797,TradeRoute,SOCKS5 settings / SOCKS5 + TOR,SplashStars3797,Anonymity – Proxies,Anonymity – Tor,,FALSE
E-Books,297633,Hansa,Pick-10-Book List: DRUPAL Content Management System (CMS),pckabml,eBooks – Tech,eBooks – Tech,,TRUE
Guides & Tutorials,161188,TradeRoute,BTC PAYPAL GUIDE v2.0 [Best Ever]!!!,Torso216098,Cashing Out,Cashing Out,,TRUE
Security,119676,TradeRoute,★ ANONIMITY STARTPACK - 24 Essential Guides ★,TheShop132197,Anonymity – Other,Anonymity – Other,,TRUE
Guides & Tutorials,134327,TradeRoute,Carding basic concepts & terminologies,james202027799,Carding,Carding,,TRUE
Security,103141,TradeRoute,PARANOIC safety VPN+Socks UP to 15+ VPN connection,Dr.Whit389697,Anonymity – VPN,Anonymity – VPN,,TRUE
Guides & Tutorials,158300,TradeRoute,How to make LSD 2017,stevejobs66629799,Drugs – Production,Drugs – Production,,TRUE
Guides & Tutorials,105782,TradeRoute,"#1 NOOB CARDING STARTER MEGAPACK $4,650 VALUE-NEXT 10 PAY $8",TheWealthMaker27797,Carding,Carding,,TRUE
Guides & Tutorials,101712,TradeRoute,William Powell's The Anarchist Cookbook 1989,pckabml143100,Weaponry & Explosives,Weaponry & Explosives,,TRUE
Guides & Tutorials,96702,TradeRoute,◆ MAKE A MILLION TRADING,Dutchdream22795,Other,Other,,TRUE
Information,132432,TradeRoute,♕ How To Be A Pro Carder ♕,TheShop131697,Carding,Carding,,TRUE
E-books,132518,TradeRoute,★The Ultimate Cashout Guide Pack-2017★,geekgorilla7100,Cashing Out,Cashing Out,,TRUE
E-Books,288314,Hansa,Drivers License ID Templates - All US States - PSD Templates,DigitalDealer,Resources – Identity Documents,Resources – Identity Documents,,TRUE
Guides & Tutorials,143449,TradeRoute,★ Complete Video Method CC TO BTC ★,best4u5192,Carding,Cashing Out,,FALSE
E-Books,291209,Hansa,★★★ Bypass 3D SECURE - SUCCESS CARDING + BONUS ★★★ 100% WORKING ★★★ CHEAP ★★★ VERY EASY.,Medon,Carding,Carding,,TRUE
Digital EBooks,282774,Apple Market,Cannabis Alchemy: The Art of Modern Hashmaking,captainkirk,Drugs – General,Drugs – Production,,FALSE
Guides & Tutorials,157066,TradeRoute,Paypal to BTC Working Method JULY 2017,MoneyMule217898,Cashing Out,Cashing Out,,TRUE
Guides & Tutorials,162194,TradeRoute,Udemy - The Complete Bitcoin Course,Junkiepig66630498,Cryptocurrency – General,Cryptocurrency – General,,TRUE
Information,159524,TradeRoute,Mail.ru accounts,forum1591,Resources – Contact Lists,Fraud,,FALSE
Guides & Tutorials,103238,TradeRoute,★ MAKE MONEY WITH BITCOINS - Guide Pack ★,hocker1191,Cryptocurrency – General,Cryptocurrency – General,,TRUE
E-books,139566,TradeRoute,Lolita: Vladimir Nabokov,captainkirk0--,eBooks – Other,eBooks – Other,,TRUE
Guides & Tutorials,120196,TradeRoute,Check Fraud Unversity(Clone),DollarsnPounds6100,Fraud,Fraud,,TRUE
Digital EBooks,282658,Apple Market,Introduction to Programming in Python An Interdisciplinary 2015,pckabml,eBooks – Tech,eBooks – Tech,,TRUE
E-books,137793,TradeRoute,Before Babylon Beyond Bitcoin 2017,pckabml143100,Cryptocurrency – General,Cryptocurrency – General,,TRUE
Guides & Tutorials,93741,TradeRoute,ULTIMATE CARDING UNIVERSITY CASHOUT PAYPAL/CC to BTC/WU,Poison86899,Carding,Cashing Out,,FALSE
E-books,150790,TradeRoute,Psilocybin Mushroom Handbook,captainkirk0--,Drugs – General,Drugs – General,,TRUE
Information,120881,TradeRoute,Cardable casino,Hotmilk141197,Carding,Carding,,TRUE
Guides & Tutorials,96149,TradeRoute,How to: SOCKS to change your IP to cash out any CVV,nbholmz10096,Anonymity – Proxies,Cashing Out,,FALSE
E-books,144840,TradeRoute,Carding - How to make Track1 from Track2 + ICQ Secret Group,steemdude75097,Carding,Carding,,TRUE
E-Books,288244,Hansa,Nike Carding Method 2016,DigitalDealer,Carding,Carding,,TRUE
E-books,142982,TradeRoute,Homemade C-4: A Recipe For Survival,captainkirk0--,Weaponry & Explosives,Weaponry & Explosives,,TRUE
Security,156670,TradeRoute,The Basics of Digital Privacy Simple Tools to Protect,pckabml135100,Anonymity – Other,Anonymity – Other,,TRUE
Digital EBooks,282674,Apple Market,Make DIY Drone and Quadcopter Projects 2016,pckabml,eBooks – Tech,eBooks – Other,,FALSE
Guides & Tutorials,143260,TradeRoute,How To Become A Fake Uber Driver - Make $725+ Per Week,drunkninja170697,Fraud,Fraud,,TRUE
Guides & Tutorials,114159,TradeRoute,How To Make MDMA,PrawnCracker32299,Drugs – Production,Drugs – Production,,TRUE
Guides & Tutorials,108740,TradeRoute,HOW TO TRANSFER FROM PAYPAL CREDIT ACCOUNTS,TopNotchMoneyMaker68697,Cashing Out,Cashing Out,,TRUE
Security,160483,TradeRoute,MULTI-HACKER #1 ONLINE HACKING SYSTEM 2017,TopNotchMoneyMaker68497,Hacking – Website,Hacking – General,,FALSE
Information,95913,TradeRoute,CREDIT CARD TO BITCOIN - VIDEO PROOF GET 2+ BTC DAILY,TheWealthMaker27797,Cashing Out,Cashing Out,,TRUE
E-Books,288274,Hansa,Fake Notes and Fake Currency PSD Templates for €100,DigitalDealer,Counterfeit Currency,Counterfeit Currency,,TRUE
E-Books,288345,Hansa,Phishing Pages Megapack,DigitalDealer,Fraud,Fraud,,TRUE
E-books,148435,TradeRoute,MAKE BIG MONEY WITH BANK LOGINS,Torso216098,Carding,Fraud,,FALSE
Guides & Tutorials,138731,TradeRoute,★ PSYCHEDELIC MUSHROOMS GROWING GUIDE PACK ★,TheShop133597,Drugs – Production,Drugs – Production,,TRUE
Guides & Tutorials,92869,TradeRoute,A Complete MDMA Synthesis for The First Time Chemist,Junkiepig66630498,Drugs – Production,Drugs – Production,,TRUE
Guides & Tutorials,131820,TradeRoute,Carding EBAY Mega PACK GUIDES,l33ter129398,Carding,Carding,,TRUE
Guides & Tutorials,112407,TradeRoute,Cash from CC using Westorn Union,blackdawg3999,Cashing Out,Cashing Out,,TRUE
Guides & Tutorials,93342,TradeRoute,How to Make Speed [WITH PHOTOS],MicroDroper62100,Drugs – Production,Drugs – Production,,TRUE
Security,104727,TradeRoute,★ SOCKS5 SERVICE ★ CLEAN IP ★ 2 SOCKS5 ★,DrCobb12198,Anonymity – Proxies,Anonymity – Proxies,,TRUE
E-books,95105,TradeRoute,Romeo and Juliet by William Shakespeare,Junkiepig66630498,eBooks – Other,eBooks – Other,,TRUE
Guides & Tutorials,127556,TradeRoute,♕ Unviersity of Carding | In Depth Carding Guide ♕,Null65097,Carding,Carding,,TRUE
E-Books,297119,Hansa,Western Union -Working Bin List Secret Revealed -  Detailed Guide how to convert your CC's to Cash/B,dawn676,Carding,Cashing Out,,FALSE
Security,284829,Hansa,GUIDE TO POSTAL SMUGGLING,bank,Transportation/Stealth,Transportation/Stealth,,TRUE
Digital EBooks,282778,Apple Market,Sierra A Take Control Crash Course 2016,pckabml,eBooks – Tech,eBooks – Tech,,TRUE
Guides & Tutorials,148216,TradeRoute,Cashing out CC by E-Gift Cards. FREE,Dutchdream22595,Cashing Out,Cashing Out,,TRUE
Guides & Tutorials,155355,TradeRoute,Mugshot or image Removal from the internet,etimbuk7591,Clearing Criminal History,Clearing Criminal History,,TRUE
E-Books,284748,Hansa,How to withdraw CC - MoneyGram - Handwritten Book-Useful for beginners,dawn676,Carding,Cashing Out,,FALSE
E-books,127993,TradeRoute,Marijuana A Reference Handbook 2nd edition 2017,pckabml143100,Drugs – General,Drugs – General,,TRUE
E-books,115824,TradeRoute,Undetectable Hand Grenades,captainkirk0--,Weaponry & Explosives,Weaponry & Explosives,,TRUE
E-Books,296989,Hansa,Hacking Exposed Wireless Wireless Security Secrets and Solutions 3rd edition 2015,pckabml,Hacking – Wireless Networks,Hacking – Wireless Networks,,TRUE
Guides & Tutorials,117386,TradeRoute,★ 7 STEPS TO TOTAL FINANCIAL FITNESS ★,TheShop130697,Other,Other,,TRUE
Guides & Tutorials,99405,TradeRoute,How To Become A Fake Uber Driver - Make $725+ Per Week,PinkQueen142997,Fraud,Fraud,,TRUE
Information,133382,TradeRoute,♕ CARDING MEGAPACK ♕,TheShop130597,Carding,Carding,,TRUE
Guides & Tutorials,115365,TradeRoute,INTRODUCTION OF HOW TO CASHOUT PAYPAL,l33ter128598,Cashing Out,Cashing Out,,TRUE
E-Books,284647,Hansa,LSD - Complete Fbi Blotter Microgram Analysis Manual (1987)Almost Free,OnePiece,Drugs – General,Drugs – General,,TRUE
Digital EBooks,282709,Apple Market,Pro SQL Server Always On Availability Groups 2016,pckabml,eBooks – Tech,eBooks – Tech,,TRUE
Guides & Tutorials,156690,TradeRoute,"BANNED eBooks: Meth Secrets, Grow Weed, Mushrooms & MORE",TheWealthMaker27897,Drugs – Production,Drugs – Production,,TRUE
Digital EBooks,282782,Apple Market,Successful Analytics Managing Google Analytics 2015,pckabml,eBooks – Tech,eBooks – Tech,,TRUE
Guides & Tutorials,111204,TradeRoute,How to extract cocaine from Paper or Paperboard,colombiaconnection198399,Transportation/Stealth,Transportation/Stealth,,TRUE
Guides & Tutorials,137603,TradeRoute,Updated Dating Scam Old but still working method 2014,best4u5192,Fraud,Fraud,,TRUE
Guides & Tutorials,131862,TradeRoute,How to: SOCKS to change your IP to cash out any CVV,nbholmz10096,Anonymity – Proxies,Cashing Out,,FALSE
Guides & Tutorials,131124,TradeRoute,Carding University,stevejobs66631299,Carding,Carding,,TRUE
Information,122585,TradeRoute,★ HOW TO MAKE HEROIN ★,TheShop131697,Drugs – Production,Drugs – Production,,TRUE
E-Books,285878,Hansa,✔ ⟁ 600 iBooks for iPhone & iPad ⟁ (͠≖ ͜ʖ͠≖),ElCartel,eBooks – Other,eBooks – Other,,TRUE
Guides & Tutorials,144539,TradeRoute,"BIGGEST 2017 FRAUD PACK?60,000 ITEMS 27 GB",hocker1191,Fraud,Fraud,,TRUE
Guides & Tutorials,119704,TradeRoute,NEW SUNTRUST BANK CASHOUT GUIDE - NOOB FRIENDLY,TopNotchMoneyMaker68897,Cashing Out,Cashing Out,,TRUE
E-books,134308,TradeRoute,MDMA How To Make It,captainkirk0--,Drugs – Production,Drugs – Production,,TRUE
Digital EBooks,282620,Apple Market,Drone Warfare and Lawfare in a Post Heroic Age 2016,pckabml,Other,eBooks – Other,,FALSE
Security,140440,TradeRoute,★ SOCKS5 SERVICE ★ CLEAN IP ★ 2 SOCKS5 ★,DrCobb12198,Anonymity – Proxies,Anonymity – Proxies,,TRUE
E-books,124894,TradeRoute,Marijuana Growing Ebook Collection,captainkirk0--,Drugs – Production,Drugs – Production,,TRUE
E-books,94391,TradeRoute,[INSTANT] Interview Questions in Business Analytics [eBOOK],UnleashClearLoyalty84998,eBooks – Other,eBooks – Other,,TRUE
Information,144738,TradeRoute,♕ CC to MoneyGram - 2 Methods ♕,TheShop131697,Cashing Out,Cashing Out,,TRUE
Guides & Tutorials,139209,TradeRoute,Basic Carding Tutorial With CVV2,Kaptein66294,Carding,Carding,,TRUE
Guides & Tutorials,138053,TradeRoute,"★ 2017 COMPLETE FRAUD BIBLE ★ 75,000 ITEMS ★ 31.5 GB",RBPshop83399,Fraud,Fraud,,TRUE
Guides & Tutorials,109924,TradeRoute,Build a Stresser - Linux DDoS,l33ter129198,Denial of Service,Denial of Service,,TRUE
Security,151697,TradeRoute,How to Make Thermite,Aracay152100,Weaponry & Explosives,Weaponry & Explosives,,TRUE
Guides & Tutorials,118685,TradeRoute,"CC, paypal visa to BTC cashout methode 3 pack",xfuckx43098,Cashing Out,Cashing Out,,TRUE
Guides & Tutorials,138348,TradeRoute,★ MULTIPLY YOUR BITCOINS  8X V1 ★,BitcoinThief3697,Cryptocurrency – General,Cryptocurrency – General,,TRUE
E-books,103533,TradeRoute,CASHOUT USA FULLZ TO BITCOIN SAME DAY,Torso216098,Cashing Out,Cashing Out,,TRUE
Digital EBooks,282693,Apple Market,Oracle Application Express Administration For DBAs & Developers,pckabml,eBooks – Tech,eBooks – Tech,,TRUE
Guides & Tutorials,122276,TradeRoute,DoubleBTC in ONE DAY BitcoinThief LEAKED GUIDE,leakedguy18100,Cryptocurrency – General,Cryptocurrency – General,,TRUE
Guides & Tutorials,101829,TradeRoute,"carding tutorail get started, _bick package extra for free",Dutchdream22795,Carding,Carding,,TRUE
E-books,108108,TradeRoute,PAYPAL BIBLE FROM EXPERIENCED CARDERS 100% SUCCESS,steemdude74098,Carding,Carding,,TRUE
E-books,113747,TradeRoute,Dummies E-Book ULTRA Collection - 9GB - 978 E-Books,ProfessorDark20198,eBooks – Other,eBooks – Tech,,FALSE
E-books,140479,TradeRoute,How To Pass Your Fake ID,thekindcalf16100,Resources – Identity Documents,Resources – Identity Documents,,TRUE
E-books,151085,TradeRoute,Lord of the Rings - Complete Collection,Junkiepig66630498,eBooks – Other,eBooks – Other,,TRUE
Guides & Tutorials,161169,TradeRoute,ADVANCED COMPUTER SETUP FOR CARDING.,l33ter127698,Carding,Carding,,TRUE
Security,133603,TradeRoute,Three Steps To Handle A Subpoena & Protect Your Privacy,Aracay152100,Anonymity – Other,Anonymity – Other,,TRUE
Information,106702,TradeRoute,[TUTO FR] Comment se faire $500 / jour (CC to BTC),SplashStars3797,Cashing Out,Cashing Out,,TRUE
Guides & Tutorials,110053,TradeRoute,How to Scam Free Stuff Off Credit Cards (current/tested),TopHatMan9100,Fraud,Fraud,,TRUE
Security,297184,Hansa,Hacking and Securing Web Applications 2015,pckabml,Hacking – Website,Hacking – Website,,TRUE
Information,137087,TradeRoute,▓▒░★ COLLEGE OF FRAUD ★░▒▓,Torso216098,Fraud,Fraud,,TRUE
Guides & Tutorials,99439,TradeRoute,Coinbase|WesternUnion|BankTransfer| CASHOUT GUIDE.,tickler7100,Cashing Out,Cashing Out,,TRUE
Guides & Tutorials,159856,TradeRoute,CC And Paypal To Bitcoin,drunkninja170497,Cashing Out,Cashing Out,,TRUE
Guides & Tutorials,144050,TradeRoute,AMAZING The Ultimate Asset Protection & Privacy,l33ter129198,Anonymity – Other,Anonymity – Other,,TRUE
Security,93862,TradeRoute,4 x VPN accounts for LIFE!,ProfessorDark19998,Anonymity – VPN,Anonymity – VPN,,TRUE
Guides & Tutorials,136493,TradeRoute,CYBERCRIME UK VIRTUAL CARDING V.3,Torso216398,Carding,Carding,,TRUE
Guides & Tutorials,116398,TradeRoute,Apple Carding Simple Method,l33ter129098,Carding,Carding,,TRUE
Guides & Tutorials,160878,TradeRoute,CC to BTC Guide+Tips-May 2017 Working Method!!Very Easy!,Kaptein66494,Cashing Out,Cashing Out,,TRUE
Guides & Tutorials,145665,TradeRoute,★ CARDING UNIVERSITY FROM HELL 666(FULL VERSION) ★,BitcoinThief3697,Carding,Carding,,TRUE
Guides & Tutorials,144453,TradeRoute,HOW TO TRANSFER FROM PAYPAL CREDIT ACCOUNTS,TopNotchMoneyMaker68697,Cashing Out,Cashing Out,,TRUE
Guides & Tutorials,143784,TradeRoute,GUIDE: CC to BTC Shortest Method (100% suucess rate),mirage126497,Carding,Cashing Out,,FALSE
Guides & Tutorials,107507,TradeRoute,VMware Software for Carding + KEY Original Price $299,MoneyMule217198,Carding,Carding,,TRUE
E-Books,288346,Hansa,FRAUD SUPER PACK OF BOOKS,DigitalDealer,Fraud,Fraud,,TRUE
Guides & Tutorials,134589,TradeRoute,♕ DELL Carding Method ♕,TheShop131797,Carding,Carding,,TRUE
E-Books,296126,Hansa,Raising Witches,captainkirk,eBooks – Other,eBooks – Other,,TRUE
Information,136313,TradeRoute,★ HOW TO PASS A DRUG TEST ★,TheShop130597,Drugs – General,Drugs – General,,TRUE
Security,94219,TradeRoute,TOR Beginners to Expert Guide 2017,pckabml139100,Anonymity – Tor,Anonymity – Tor,,TRUE
Guides & Tutorials,153092,TradeRoute,CARDING DELL GUIDE,l33ter127898,Carding,Carding,,TRUE
Guides & Tutorials,106212,TradeRoute,How To Scam On LocalBitcoins,cent11598,Fraud,Fraud,,TRUE
E-Books,296385,Hansa,!! Secret Strategy -- OVER 2000$ IN JUST HALF AN HOUR !!,btcthief,Other,Other,,TRUE
Guides & Tutorials,158208,TradeRoute,How To Grow Magic Mushrooms,drunkninja171497,Drugs – Production,Drugs – Production,,TRUE
E-books,158069,TradeRoute,"""7 in ONE"" VERY EXCLUSIVE PACKAGE ! *VIP* BEST PRICE",BarryBusiness38399,Other,Other,,TRUE
E-books,97896,TradeRoute,Search Engine Optimization SEO,DiGiMON116100,SEO,SEO,,TRUE
Security,285388,Hansa,Bootable and Encrypted Whonix VM on 8GB USB Stick+,bank,Anonymity – Proxies,Anonymity – Other,,FALSE
Guides & Tutorials,149386,TradeRoute,A Beginners Guide To Hacking Computer Systems,Europe7598,Hacking – General,Hacking – General,,TRUE
Information,93587,TradeRoute,[TUTO FR] Vérifier le solde d'une CC / CC check,SplashStars3797,Carding,Carding,,TRUE
E-books,148454,TradeRoute,Handbook of Digital Currency Bitcoin Innovation 2015,pckabml143100,Cryptocurrency – General,Cryptocurrency – General,,TRUE
Guides & Tutorials,144106,TradeRoute,"Carding, Every  shop is cardable, interesting explication",l33ter129198,Carding,Carding,,TRUE
Guides & Tutorials,128074,TradeRoute,Bannedbooks Carding University,BlackSapphire5100,Carding,Carding,,TRUE
E-Books,284404,Hansa,How to make GHB [Open Drugs] GHB Manual,OnePiece,Drugs – Production,Drugs – Production,,TRUE
Guides & Tutorials,116035,TradeRoute,CC to cash very easily,blackdawg3699,Cashing Out,Cashing Out,,TRUE
Security,296292,Hansa,Computer Forensics InfoSec Pro Guide 2013,pckabml,Digital Forensics,Digital Forensics,,TRUE
E-Books,296062,Hansa,Dupont Blasters Handbook,captainkirk,eBooks – Other,eBooks – Other,,TRUE
Guides & Tutorials,116735,TradeRoute,★★ The Hacker’s Underground Handbook  ★★,Null63997,Hacking – General,Hacking – General,,TRUE
